WORD,GROUND_TRUTH
отделение_NOUN,1.0
секция_NOUN,1.0
палата_NOUN,1.0
богадельня_NOUN,1.0
особа_NOUN,1.0
уклон_NOUN,1.0
молодец_NOUN,1.0
передовой_ADJ,1.0
трибунал_NOUN,1.0
пружина_NOUN,1.0
заведующий_NOUN,1.0
мама_NOUN,1.0
свалка_NOUN,1.0
знатный_ADJ,1.0
стиль_NOUN,1.0
казенный_ADJ,1.0
пакет_NOUN,1.0
защитник_NOUN,1.0
публика_NOUN,1.0
сволочь_NOUN,1.0
привет_NOUN,1.0
присутствие_NOUN,1.0
червяк_NOUN,1.0
отдел_NOUN,1.0
бюрократ_NOUN,1.0
тройка_NOUN,1.0
комиссар_NOUN,1.0
заключенный_ADJ,1.0
смотритель_NOUN,1.0
обвинитель_NOUN,1.0
пионер_NOUN,1.0
управа_NOUN,1.0
дума_NOUN,1.0
машина_NOUN,1.0
правитель_NOUN,1.0
декрет_NOUN,1.0
чиновник_NOUN,1.0
тетка_NOUN,1.0
элемент_NOUN,1.0
классный_ADJ,1.0
участок_NOUN,1.0
управление_NOUN,1.0
директор_NOUN,1.0
новичок_NOUN,0.0
мазь_NOUN,0.0
вино_NOUN,0.0
серединный_ADJ,0.0
торжественный_ADJ,0.0
прозвище_NOUN,0.0
философ_NOUN,0.0
вывеска_NOUN,0.0
весна_NOUN,0.0
больница_NOUN,0.0
дождь_NOUN,0.0
трубка_NOUN,0.0
войско_NOUN,0.0
овес_NOUN,0.0
клиника_NOUN,0.0
отрывок_NOUN,0.0
неудачник_NOUN,0.0
юношество_NOUN,0.0
переулок_NOUN,0.0
собор_NOUN,0.0
насаждение_NOUN,0.0
ночлег_NOUN,0.0
агентство_NOUN,0.0
ссора_NOUN,0.0
графиня_NOUN,0.0
археолог_NOUN,0.0
похищение_NOUN,0.0
влажный_ADJ,0.0
