lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
блочный	ADJ	1918-1990	1	блочный-0		"качков" или "быков", низколобых, круглоголовых, с короткими стрижками, низкорослых, кряжистых, заторможенно-туповатых, в мешковатых, сползающих складками до земли, штанах и в обтягивающих раздутые торсы футболках, этаких отморозков, а может и беспредельщиков, короче сказать -- долболобов, дурноватые, нарывающиеся на скандал бульдозеры, машут над самой твоей головой переполненными ковшами пугающе похожие на до безобразия разросшихся железных насекомых-мутантов экскаваторы, -- всюду, куда ни шагни, толкутся рабочие в касках и перепачканных робах, с ломами и лопатами в руках, -- и, еле реагируя на весь этот бред или вообще стараясь, по возможности, не обращать на него никакого внимания, что не так-то просто дается и далеко не всегда удается, идешь не прямо, а преимущественно в обход, натыкаешься то на лохматую, прелую, зрелую кучу разнообразного мусора, то на целый холм грубо вырытой слипшимися пластами и тут же сваленной, быстро засыхающей почвы, поворачиваешь, опять поворачиваешь, и еще поворачиваешь, пробираешься по переброшенным через очередную ощерившуюся прорву подозрительно хлипким мосткам, и уже ничего, ничегошеньки не замечаешь по сторонам, чуть поодаль от хаоса, в нечастых и несчастных сгустках городской растительности, -- ни мирно зеленеющей, свободно разросшейся на рыжеющей глине, довольно густой и высокой травы, над которой беспечно трепещут посреди клубящихся испарений, мельтеша невесомыми крылышками, как балерины семенят ножками, светлые мотыльки, ни воздушной, полной отдыхающего в ней, расслабленного, но готового спохватиться и сорваться с нее, теплого ветра, то ли сошедшей с пейзажей Коро, то ли всерьез намеренной переместиться туда, подальше от людского равнодушия, от великой обиды за невнимание к чуду, порывистой, трепетной, испещренной, как родимыми пятнами, всеми оттенками зеленого цвета, от виноградно-желтоватого до темно-изумрудного, переходящего в самовластную синеву обдающих тебя мимолетной прохладой теней, говорливой, узорной, сквозной, светоносной листвы на ветвях окрестных деревьев -- ты успел позабыть их названия, а ведь знал их когда-то, -- ни смущенно расцветающей сирени, притулившейся у торца раскаленного зноем блочного дома, очень похожего на затасканный в кармане, вроде бы еще и белый, но уже темноватый, со стертыми гранями,	2179:2187	0:2296
блочный	ADJ	1991-2017	2	блочный-1		Если таких "блоков" не хватает, то злокачественная клетка пользуется тем же путем, что и нормальная, синтезируя нуклеотиды из простейших соединений: глицина, формиата, глутамина, углекислоты и других, но при первой же возможности снова переключает производство на более выгодный "блочный" путь.	280:287	0:294
блочный	ADJ	1918-1990	1	блочный-2		-- Вроде обошлось -- спросил один из парней, когда машина остановилась в тени блочной башни.	78:85	0:92
блочный	ADJ	1991-2017	2	блочный-3		На самом деле, блочный принцип планировки -- нечто вроде эсперанто проектировщика.	15:22	0:82
блочный	ADJ	1918-1990	1	блочный-4		Блочная конструкция головки -- вот где зарыта собака, вот в чем решение всей задачи.	0:7	0:84
блочный	ADJ	1918-1990	1	блочный-5		Что дал нам переход на блочное строительство Во-первых, улучшилось качество кладки, надо учесть, что народ у нас молодой -- почти все только недавно окончили десятилетку.	23:30	0:170
блочный	ADJ	1918-1990	1	блочный-6		Блочные катализаторы сотовой структуры (ячеистое строение с параллельными каналами определенной геометрии и с тонкими разделяющими стенками между ними) обладают рядом уникальных свойств: значительная однородность геометрической структуры, максимальное соотношение поверхности к объему, низкое гидравлическое сопротивление, а также высокая механическая прочность и термостабильность.	0:7	0:382
блочный	ADJ	1991-2017	2	блочный-7		С правой стороны черными плоскими кучами лежали кострища, кое-где еще дымившиеся, а за этой полосой пепелищ, шагах в двухстах от дороги, возвышались новые блочные дома в пять этажей.	155:162	0:182
блочный	ADJ	1991-2017	2	блочный-8		Блочные пятиэтажки стали выстраиваться кварталами, микрорайонами.	0:7	0:65
блочный	ADJ	1991-2017	2	блочный-9		Он думал о том, что бедная Галя, иногда заезжавшая пообедать с полной сумкой писем и газет, не догадывается о чувстве, какое охватывает его, вечного путешественника, когда он нечаянно видит обратный адрес или заголовок -- и знает отсюда, каков на вид, на воздух, на общественный транспорт Хабаровск или Нижний Тагил, а порою упомянутая улица предстает перед ним косой линейкой блочных пятиэтажек, застекленных понизу магазинами, либо беспорядком отштукатуренных домиков-кубиков с окошками, как выпавшие очки, с пивным ларьком на лысом глиняном бугре.	377:384	0:550
блочный	ADJ	1918-1990	1	блочный-10		Аналогичное выражению (3) обобщенное расстояние для объемных геомоделей включает еще одну размерность для модельных и наблюденных полей и для весовых коэффициентов, для оценки которых потребуется построение блочной корреляционной матрицы.	207:214	0:238
