lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
влажный	ADJ	1918-1990	2	влажный-0		-- Здравствуйте, товарищ Пилипенко! -- не оборачиваясь, чтобы отдалить признание в собственной ошибке, сказал Прохоров, и уж тогда резко повернулся к человеку, портрет которого давно создал в воображении: томная соболиная бровь, грушевидный нос, влажные глаза, солдатская складка меж бровей, зеркальные сапоги, скошенная набок фуражка...	246:253	0:337
влажный	ADJ	1918-1990	2	влажный-1		При влажном зерне работы больше, и горючего расходует больше.	4:11	0:61
влажный	ADJ	1682-1916	1	влажный-2		-- Он схватил влажные пальчики, стискивал, заглядывал в глаза, помня, что для всякой просьбы нужен напор, страсть.	14:21	0:114
влажный	ADJ	1918-1990	2	влажный-3		Она так крепко сжимала в восторженном порыве мои пальцы, ее огромные влажные глаза так умоляюще глядели, что я невольно поддалась порыву этой смешной восторженной девочки и клятвенно обещала ей -- никому не говорить об ее тайне.	69:76	0:228
влажный	ADJ	1918-1990	2	влажный-4		-- Ты не спишь Он смотрел на нее влажными от нежности глазами.	33:41	0:62
влажный	ADJ	1918-1990	2	влажный-5		В этот момент только агатовый влажный нос его живет в могущественном мире слитных запахов, ловя жадно разверстыми, трепещущими ноздрями и пресный, все обволакивающий запах снега, и неугасимую горечь убитой морозами полыни, и сенной веселый душок конского помета с ближнего шляха, и несказанно волнующий, еле ощутимый аромат куропатиного выводка, залегшего на дальней бурьянистой меже.	30:37	0:384
влажный	ADJ	1682-1916	1	влажный-6		Влажная от сырости солома совершенно измочалилась и не шуршала, когда спящие ворочались.	0:7	0:88
влажный	ADJ	1682-1916	1	влажный-7		Эта подчеркнутая почтительность, за которой Мамалыга хорошо видел трусливо прикрытое шутовство и издевательство, это синеватое, бескровное лицо с горбатым носом и обозначившимися усами, вытаращенные влажные глаза, в глубине которых, далеко-далеко, мгновенно мелькали и трусливо прятались дразнящие огоньки насмешки, даже неформенный этот ремень -- действовали на Мамалыгу, как медленный укол шилом, -- так бы и смазал по этой наглой морде.	199:206	0:439
влажный	ADJ	1682-1916	1	влажный-8		Влажная тропинка вела меня к морю.	0:7	0:34
влажный	ADJ	1918-1990	2	влажный-9		И лицо его как будто бы сразу преобразилось, просветлело и стало почти прекрасным; бледные губы слегка полуоткрылись, а глаза еще больше увеличились и сделались глубокими, влажными и сияющими.	172:180	0:192
влажный	ADJ	1682-1916	1	влажный-10		Влажные листья и кора пахли остро, вкусно, необыкновенно, как могут они пахнуть только весной, в чудесное свежее утро, в незнакомом лесу.	0:7	0:137
влажный	ADJ	1918-1990	2	влажный-11		В третьей порции влажного миозина было определено количество связанной им соляной кислоты.	17:25	0:90
