lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
погрешность	NOUN	1918-1990	1	погрешность-0		"Погрешности" в еде вызывают расстройства деятельности печени, а у людей, уже страдающих различными заболеваниями, -- их обострение.	1:12	0:132
погрешность	NOUN	1918-1990	1	погрешность-1		Я могу вам лишь показать вот этот превосходно изданный волюм, где изложены все подробности опытов 1907 г. и их результаты, на основании которых мною был построен прибор (отмечатель) для обучения на берегу или на корабле наводке орудий, как бы при стрельбе на качке, не производя на самом деле ни стрельбы, ни качаний корабля, а воспроизводя в прицельной трубе то зрительное впечатление, которое он видел при качании корабля на море; причем он настоящим образом наводит орудие (настоящее бортовое или башенное), производит спуск курка -- и иглой отмечается точка попадания; отклонение этой точки от точки прицеливания дает погрешность в наводке.	622:633	0:644
погрешность	NOUN	1991-2017	2	погрешность-2		-- Значит, вы как адвокат никаких погрешностей следствия не обнаружили -- Ни малейших, -- подтвердил тот.	34:46	0:105
погрешность	NOUN	1991-2017	2	погрешность-3		Как ты думаешь, женщина, усекновение головы -- это погрешность или травма Вендулка: А ты не суди.	51:62	0:97
погрешность	NOUN	1918-1990	1	погрешность-4		3. Результаты моделирования . Выходными значениями сети являлись оценки влажности W, которые при исследовании ее погрешности сравнивались с точными значениями W, задаваемыми соотношениями (1)-(8).	113:124	0:196
погрешность	NOUN	1991-2017	2	погрешность-5		Но, оказавшись в консерватории, как-то сразу сник: выяснилось, что в музыкальном его воспитании было много погрешностей, что он того не умеет и это не знает, тут зияет дыра и здесь провал, а вкус ну просто чудовищный -- полное отсутствие вкуса!	107:119	0:244
погрешность	NOUN	1991-2017	2	погрешность-6		Погрешности этого рода имеют соответствующие гносеологические корни, свою историю в социально-экономическом познании.	0:11	0:117
погрешность	NOUN	1991-2017	2	погрешность-7		В договоре на оказание услуг по трансформации (в случае принятия решения о привлечении сторонних специалистов), помимо стандартных, должны быть описаны: -- объем работ с указанием периода трансформации (как правило, два года); -- уровень существенности (так как погрешность при проведении трансформации отчетности неизбежна); -- порядок взаимодействия между сторонами (форма и сроки представления данных, степень участия сотрудников бухгалтерской службы заказчика, порядок согласования результатов); -- объем передаваемой информации по результатам трансформации.	262:273	0:562
погрешность	NOUN	1991-2017	2	погрешность-8		Погрешность индивидуального наведения их элементов не превышала 200 м. Окончательно же туман рассеялся в начале 70-х, когда на советском полигоне, ошибочно, видимо, приняв фотографирующий спутник противника за аппарат электронной разведки, не стали при нем стесняться.	0:11	0:268
погрешность	NOUN	1991-2017	2	погрешность-9		Но где работать Как уже было сказано, в центре города промышленные помехи оказались слишком сильными: магнитная система прибора "плясала", как ненормальная, погрешности измерений далеко выходили за рамки допустимых пределов.	157:168	0:224
погрешность	NOUN	1918-1990	1	погрешность-10		Погрешность так велика, что многие до недавнего времени напрочь отрицали влияние человека на климат -- выносили этот "антропогенный фактор" за скобки.	0:11	0:150
погрешность	NOUN	1991-2017	2	погрешность-11		"Несчастие нашего времени то, что количество погрешностей и неосторожностей, накопленное не одним уже веком, едва ли не превышает силы и средства исправления".	45:57	0:159
погрешность	NOUN	1991-2017	2	погрешность-12		Погрешность такого подхода, позволяющего избежать появления неконтролируемых ошибок, которые возникают при обрыве бесконечных рядов, не превышает нескольких процентов.	0:11	0:167
погрешность	NOUN	1991-2017	2	погрешность-13		В автоматическом режиме поверка происходит следующим образом: -- снимается исходная тарировочная кривая путем сканирования заранее заданной сетки скоростей (снятие данных начинается при входе скорости воздуха в полосу допустимой погрешности); -- при входе скорости воздуха в полосу допустимой погрешности начинается снятие данных; -- вычисляются поправочные коэффициенты; -- коэффициенты "прошиваются" в память поверяемого анемометра; -- проверяется анемометр с "прошитыми" коэффициентами; -- принимается решение о годности данного анемометра к работе (соответствие полученной при проверке погрешности паспортной); -- полученные при поверке и проверке данные заносятся в базу; -- по окончании поверки компьютер выдает звуковой сигнал и сообщение на экране.	229:240	0:756
погрешность	NOUN	1918-1990	1	погрешность-14		А. Измайлова "Чехов", составленный из его газетных статей, не обработан при выпуске и издан очень небрежно, с массой погрешностей, придающих совершенно неверное освещение фактам.	117:129	0:178
погрешность	NOUN	1918-1990	1	погрешность-15		С этой целью я воспользуюсь данными, имеющимися в различных работах по декламации и выразительному чтению, и, таким образом, избегу упреков в каком-нибудь умышленном -- хотя бы непроизвольно -- подборе материала. касается вопроса о произношении; указывая на условия беспорочности патологические случаи, вроде картавления) и правильности (московский говор), он на с. 37 говорит об отчетливости произношения слов русской речи, отмечая, что "зачастую встречаются примеры ленивого, вялого, тусклого произношения слов, скрадывания конечных слогов, процеживания сквозь зубы и т. п. Во избежание таких погрешностей должно быть наблюдаемо, чтобы гласные звуки произносились чисто, а согласные артикулировались при энергичном участии надлежащих органов, чтобы в слове слышались отчетливо все слоги его составляющие, чтобы рот был раскрыт сколько следует, и слова произносились возможно более громким голосом". считает самым важным и первым условием хорошего произношения отчетливость: "Умение вполне отчетливо отделять при произношении звуки один от другого.	595:607	0:1049
погрешность	NOUN	1918-1990	1	погрешность-16		Беда этого уравнения в том, что любая, самая ничтожная погрешность в расчете не меняет приемлемый, ожидаемый результат, а уничтожает его вовсе, уничтожает вообще все, и моя дочь останется одна, и скотски и безлико мы уснем навсегда.	55:66	0:232
погрешность	NOUN	1991-2017	2	погрешность-17		Как он простил мне погрешности поэтической формы, угадав за нею подлинный лирический опыт -- так же он, несмотря на неосторожно и торопливо высказанные мною мысли, почувствовал в них известную правду, ему близкую.	19:30	0:213
погрешность	NOUN	1991-2017	2	погрешность-18		Безусловно, есть технологические нюансы в подготовке воды, спирта (очистка молоком, серебром), в пищевых добавках, которые при инструментальном анализе на газовом хроматографе покажут незначительные -- до степени математической погрешности -- различия в качестве всех этих водок.	228:239	0:279
погрешность	NOUN	1991-2017	2	погрешность-19		Политолог считает, что говорить о действительном росте популярности "Единой России" по крайней мере преждевременно: "Все, что происходит в рамках статистической погрешности, не может рассматриваться как реальность.	161:172	0:214
погрешность	NOUN	1918-1990	1	погрешность-20		В их число, согласно инициированной нами независимой экспертизе, попала продукция клиента г-жи Шаповаленко: в ней содержание запрещенного метанола -- 0,6 процента, что в шесть раз превышает даже допустимую норму погрешности при измерениях.	212:223	0:239
погрешность	NOUN	1991-2017	2	погрешность-21		Если раньше мы считали, что с той или иной погрешностью мы охватываем учетом почти всю безработную массу, то сейчас этого сказать будет уже нельзя.	43:55	0:147
погрешность	NOUN	1918-1990	1	погрешность-22		В качестве примера продемонстрируем доступ к графическим иллюстрациям классификации пространственных погрешностей детали: отклонений от плоскостности, выпуклости и вогнутости (рис. 10, см. третью сторону обложки).	101:113	0:213
погрешность	NOUN	1991-2017	2	погрешность-23		Тоня вытерла с лица пот, почувствовала, как расслабляются напрягшиеся после протанцованной партии мышцы, еще раз мысленно проверила все допущенные погрешности, похвалила себя за удачные детали и провалилась в сон с обессиленной блаженной улыбкой на пересохших губах.	147:158	0:266
погрешность	NOUN	1918-1990	1	погрешность-24		В реальности это будет означать, что Христос не присутствует в Церкви динамически, -- вывод, могущий стать причиной серьезных погрешностей в учении о таинствах.	126:138	0:160
погрешность	NOUN	1918-1990	1	погрешность-25		Аникеев помог найти одну из сорока возможных причин погрешностей.	52:64	0:65
погрешность	NOUN	1918-1990	1	погрешность-26		В упомянутом письме к Катенину он писал: "Ты находишь главную погрешность в плане: мне кажется, что он прост и ясен по цели и исполнению; девушка сама не глупая предпочитает дурака умному человеку (не потому чтобы ум у нас грешных был обыкновенен, нет! и в моей комедии 25 глупцов на одного здравомыслящего человека); и этот человек, разумеется, в противуречии с обществом его окружающим, его никто не понимает, никто простить не хочет, зачем он немножко повыше прочих, сначала он весел, и это порок: "Шутить и век шутить, как вас на это станет!"	62:73	0:546
погрешность	NOUN	1918-1990	1	погрешность-27		Погрешность хода таких часов порядка тысячных долей секунды в сутки.	0:11	0:68
погрешность	NOUN	1918-1990	1	погрешность-28		Во времена Пуассона, умершего в 1841 г., корабли были деревянные, железа на них было сравнительно мало, влияние его невелико, погрешности компаса поглощались другими погрешностями при плавании под парусами.	126:137	0:206
погрешность	NOUN	1918-1990	1	погрешность-29		Здесь сразу и западническая замкнутость сердца, и погрешность в самых догматических предпосылках.	50:61	0:97
погрешность	NOUN	1918-1990	1	погрешность-30		Водородные часы, контролировавшие работу радиотелескопов, отмечали время приема сигналов с поистине астрономической точностью -- погрешность не превышала 1 сек. на миллион лет!	129:140	0:176
погрешность	NOUN	1918-1990	1	погрешность-31		Для исправления столь разнообразных погрешностей прежде всего дают до восьми варов и с помощью их обрубают излишнее железо на роге потом, чтобы выверить боровок, нагревают рог 4-5 раз; после этого до восьми варов нужно на выправку лапы и на проварку ее, где потребуется, наконец, на обрубку лишнего металла в лапу или на приварку к ней недостающего в виде планок, требуется до 14 варов и затем, хотя рог и лапа получили надлежащие формы и размеры, но в этом состоянии рог не может еще идти в сноску с веретеном, он имеет довольно грубую наружность и ласка (клинообразная оттянутая толстая оконечность рога) его не пригнана по замку веретена.	36:48	0:641
погрешность	NOUN	1918-1990	1	погрешность-32		Все эти расчёты, естественно, пальцевые и с большой погрешностью.	52:64	0:65
погрешность	NOUN	1991-2017	2	погрешность-33		Все, что тут написано, -- правда, и если есть погрешности, то только в том или другом выражении, но не в их смысле.	46:57	0:115
погрешность	NOUN	1991-2017	2	погрешность-34		Для любой госпрограммы эти цифры -- не более чем статистическая погрешность.	64:75	0:76
погрешность	NOUN	1991-2017	2	погрешность-35		-- метод оценки погрешностей измерения.	16:28	0:39
погрешность	NOUN	1991-2017	2	погрешность-36		Для расчета погрешности прогнозирования устанавливаются отклонения точек, положение которых определяется данными реального курса иностранной валюты, относительно линии регрессии (рис. 2).	12:23	0:187
погрешность	NOUN	1991-2017	2	погрешность-37		Услышав ответ Резерфорда, что точности около 3% обычно хватает, Капица заметил, что при примерно 30 сотрудниках добавление еще одного скорее всего пройдет незамеченным, поскольку будет лежать в пределах экспериментальной погрешности!	221:232	0:233
погрешность	NOUN	1918-1990	1	погрешность-38		Доселе по худому вкравшемуся обычаю преподавали учение по рукописным тетрадям, которые учащиеся, списывая с погрешностями, сообщали один другому".	108:121	0:146
погрешность	NOUN	1918-1990	1	погрешность-39		Расхождение масс, того значения, которое ей давал гравилокатор, и вычисленной по объему тела, предполагаемой плотности его вещества, было минимальным, на грани погрешности.	160:171	0:172
погрешность	NOUN	1918-1990	1	погрешность-40		Ее правдоподобие заражает других, и гипотеза почитается истинным объяснением данного явления, покуда кто-нибудь не найдет в ней погрешности.	128:139	0:140
погрешность	NOUN	1918-1990	1	погрешность-41		-- В Арктике без особых погрешностей можно планировать ближайшие полминуты, -- напомнил Лукин.	24:36	0:94
погрешность	NOUN	1918-1990	1	погрешность-42		Если шпилька неподвижна, часы мои делают погрешности, не превосходящие нескольких десятых секунды, но за секунду не переходят.	41:52	0:126
погрешность	NOUN	1918-1990	1	погрешность-43		Мне кажется, что здесь погрешность далеко уходит за пределы арифметики, ибо в том же обвинительном заключении легко обнаруживаются и другие, не менее оригинальные утверждения.	23:34	0:175
погрешность	NOUN	1918-1990	1	погрешность-44		Еще каких-то 10-15 лет назад они отказались бы провести юстировку с погрешностью при сборке меньше одного сантиметра или угловой минуты.	68:80	0:136
погрешность	NOUN	1918-1990	1	погрешность-45		Действительно, одномоментная операция дает большую погрешность.	51:62	0:63
погрешность	NOUN	1918-1990	1	погрешность-46		Заметя погрешность, Кошанский с некоторою хищностью вырывал листок из рук юнца-поэта, со сладострастием зачеркивал ненужное или бессмысленное слово и тут же надписывал исправление.	7:18	0:180
погрешность	NOUN	1918-1990	1	погрешность-47		Спешу исправить в этом издании погрешность первого издания.	31:42	0:59
погрешность	NOUN	1918-1990	1	погрешность-48		Зная размер одной из них, можно вычислить весомость другой и, следуя таким путем, восстановить (с погрешностями, присущими такому методу расчета) цифру всей массы людей.	98:111	0:169
погрешность	NOUN	1991-2017	2	погрешность-49		Ведь такие погрешности нарушают правду жизни в фильме, а значит, подрывают доверие к происходящему.	11:22	0:99
погрешность	NOUN	1918-1990	1	погрешность-50		И нужно не только опровергать или отвергать западные решения и погрешности, нужно их преодолеть и превзойти в новом творческом действии.	63:74	0:136
погрешность	NOUN	1918-1990	1	погрешность-51		Исправляя одну за другой мелкие свои погрешности по указанию старших, он близился к совершенству.	37:48	0:97
погрешность	NOUN	1918-1990	1	погрешность-52		И хотя под каждую модификацию существуют свои контрольные параметры, в целом эта система в точности повторяет заводскую и исключает серьёзные погрешности ремонта.	142:153	0:162
погрешность	NOUN	1991-2017	2	погрешность-53		Но вторая часть (характеристика данных в отношении их достоверности и погрешности) -- к сожалению, осуществляется, вообще говоря, лишь при составлении каких-либо сводных работ или исследований по отдельным вопросам.	70:81	0:215
погрешность	NOUN	1918-1990	1	погрешность-54		Кондрат Булавин, Наталка, Илья, старик Лоскут -- эти основные персонажи трагедии -- дают интересный актерский материал; надо надеяться, что наш Воронежский театр драмы, работающий над пьесой, устранив ряд недостатков (длинноты, погрешности языка и т. д.), создаст крепкий и красочный спектакль.	228:239	0:294
погрешность	NOUN	1918-1990	1	погрешность-55		В их суждениях прежде всего четко обозначается область, в которой он совершил ту или иную погрешность, то есть нарушил предписанные для данной области правила.	90:101	0:159
погрешность	NOUN	1918-1990	1	погрешность-56		Космическая погрешность В халатности упрекает нас читатель Юрий Сергеевич Квасников, отталкивающийся в своих выводах от табеля-календаря "Столицы" на май 1997 года (# 4).	12:23	0:170
погрешность	NOUN	1991-2017	2	погрешность-57		Практически же для этой цели можно почти без особой погрешности пользоваться приводимой на рис. 2 кривой, дающей емкость в мюF на 1 квадр. дюйм алюминиевой пластины, считая только одну сторону таковой.	52:63	0:201
погрешность	NOUN	1918-1990	1	погрешность-58		Между тем даже самые лучшие астрономические часы имеют слишком большую для некоторых работ погрешность, причем ошибка в их показаниях с течением времени накапливается.	91:102	0:167
погрешность	NOUN	1918-1990	1	погрешность-59		Всего менее можно подозревать, что Хомяков не дооценивает значительность и важность догматических расхождений и погрешностей.	112:124	0:125
погрешность	NOUN	1991-2017	2	погрешность-60		Методика выполнения измерений 5.1 Требования к погрешности измерений Измеряемые величины, применяемые при анализе КЭ, а также пределы и погрешности измерений этих величин (без учета коэффициентов трансформации и погрешности трансформаторов напряжения и тока) приведены в табл. 5.1. 5.2 Требования к средствам измерений 5.2.1 При испытаниях ЭЭ с целью анализа КЭ, а также при допуске в эксплуатацию искажающих электроустановок, должны использоваться средства измерений показателей качества электрической энергии, соответствующие требованиям, указанным в [2, раздел 8], и имеющие при измерении величин, используемых при анализе КЭ, метрологические характеристики не хуже приведенных в табл. 5.2. 5.2.2 При проведении испытаний ЭЭ с целью рассмотрения причин претензий должны использоваться трансформаторы напряжения ТН и тока ТТ класса точности не хуже 0,5, поверенные в установленном порядке, с указанием в протоколах поверки значения погрешностей в зависимости от тока (для ТТ) или нагрузки (для ТН) вторичных цепей. 5.2.3 При проведении испытаний ЭЭ с целью определения технических условий или договорных условий с потребителем, а также при измерениях с целью разработки корректирующих и предупреждающих мероприятий допускается использовать средства измерений, погрешность которых не превышает установленную в табл. 5.2 для средств измерений, подключаемых непосредственно к электрическим сетям 220/380 В. 5.3 Метод измерений 5.3.1 При выполнении измерений используют метод непосредственной оценки ПКЭ и величин, перечисленных в табл. 5.1. 5.3.2 При измерениях с целью анализа КЭ в трёхфазных четырехпроводных и однофазных электрических сетях следует измерять фазные напряжения и фазные токи, в трехфазных трёхпроводных сетях -- напряжения между фазными проводами и землей и фазные токи.	47:58	0:1787
погрешность	NOUN	1991-2017	2	погрешность-61		Комплекс программ АРМ-модель (для монометальных руд) и Модель-М (для многокомпонентных руд) позволяет: * сформировать многофакторную модель разведуемого объекта в виде набора цифровых параметров его морфологических, концентрационных и других характеристик, а также карт изолиний содержания, мощности, метропроцента; * создать банк "эталонных" моделей по комплексу выбранных признаков; * оценить погрешности разведочных параметров "эталонных" и разведуемого объектов в зависимости от плотности разведочной сети; * найти аналог разведываемому объекту из банка "эталонных" моделей и соответствующую ему оптимальную методику разведки, включая комплекс геофизических методов.	395:406	0:670
погрешность	NOUN	1918-1990	1	погрешность-62		Можно лишь выразить сожаление о том, что в них допущены некоторые досадные редакционные погрешности, в том числе и невероятный разнобой в транскрипции корейских имен.	88:99	0:166
погрешность	NOUN	1991-2017	2	погрешность-63		Отчасти его можно обвинить в чрезмерной опасливости и предусмотрительности, он не хотел рисковать, выступая против сильной власти ("нам, двум архимандритам, Юрьевскому и Пустынскому, не спасти Церковь, если в чем есть погрешность", говорил Филарет Иннокентию).	218:229	0:260
погрешность	NOUN	1991-2017	2	погрешность-64		Не будучи чересчур компетентными в тонкостях социологического дела, они поняли лишь то, что внятных идеологий у "больших партий" не осталось вовсе, а балансирующие на грани 5-процентного барьера "мальки" создают большую погрешность при прогнозе: "Вдруг не пройдет СПС, а пройдут аграрники".	220:231	0:290
погрешность	NOUN	1991-2017	2	погрешность-65		Малый бизнес как раз сможет закрыть погрешности госплана.	36:47	0:57
погрешность	NOUN	1918-1990	1	погрешность-66		Не действовали и вроде бы исключающие погрешности ксероксы.	38:49	0:59
погрешность	NOUN	1991-2017	2	погрешность-67		Ему было известно, что его русский язык страдает многими погрешностями, которые он инстинктивно пытался компенсировать твердостью и раздельностью речи.	57:70	0:151
погрешность	NOUN	1918-1990	1	погрешность-68		Нет, думал я, мир, в котором создана такая песня, несмотря на все свои погрешности, имеет право на счастье и будет счастлив.	71:82	0:124
погрешность	NOUN	1918-1990	1	погрешность-69		Погрешность хода кварцевых часов -- около 0,0002-0,0003 секунды в сутки, то есть еще меньше, чем у лучших маятниковых астрономических часов.	0:11	0:140
погрешность	NOUN	1918-1990	1	погрешность-70		Но что меня только коробит, как погрешность литературного вкуса, столь на Вас непохожего, то других оскорбляет.	32:43	0:111
погрешность	NOUN	1918-1990	1	погрешность-71		Когда стояли в тылу "на отдыхе", тогда постепенно, после исправления всех материальных погрешностей, начинали занятия, устрагивали спортивные праздники и состязания, к которым нужно было готовиться, солдатские спектакли, пели песенники и играли трубачи, -- день был полон, он нес свои заботы и свое утомление, полковая машина вертелась и каждый что-нибудь да делал.	87:99	0:365
погрешность	NOUN	1918-1990	1	погрешность-72		Обвиняют ли читатели неряшливый газетный жаргон, приводят ли они вопиющие примеры тех искажений, которые встречаются в речи учителей и учащихся, указывают ли на речевые погрешности радио, ясно, что для каждого из них это жгучий вопрос, который они не могут обсуждать хладнокровно.	169:180	0:280
погрешность	NOUN	1918-1990	1	погрешность-73		Процент душевно-больных: мужчин женщин В Англии 46 54 Во Франции 48 52 В Бельгии, Голландии и Скандинавских странах 47 53 Таким образом, "существуют какие-то особые факторы, особые биологические и социальные законы, в силу которых во всякой стране преобладает в населении некоторое количество душевно-больных женщин над числом душевнобольных мужчин; обратное же, повидимому, всегда указывает на то, что перепись велась с какими-то значительными погрешностями, недочетами и неточностями".	445:458	0:487
погрешность	NOUN	1918-1990	1	погрешность-74		Он же, когда зачитывали отзыв виднейшего нашего магнитолога Аркадия Моисеевича Карасика, в котором справедливо отмечались многочисленные стилистические погрешности текста, ядовито сказал председателю Ученого совета Монину: "Обратите внимание, Андрей Сергеевич, как один инородец упрекает другого в плохом знании русского языка".	152:163	0:328
погрешность	NOUN	1991-2017	2	погрешность-75		Этим исключается влияние технологических погрешностей.	41:53	0:54
погрешность	NOUN	1918-1990	1	погрешность-76		Он не считал, что погрешности разведывательных служб являются подходящей темой для обсуждения на встрече глав правительств.	18:29	0:123
погрешность	NOUN	1991-2017	2	погрешность-77		К сожалению, мы долго-долго стояли из-за исправления погрешностей, преимущественно второй машины.	53:65	0:97
погрешность	NOUN	1918-1990	1	погрешность-78		Петко Патич, загребский неудачник, не дождавшись долгожданного взрыва, подобно герою Дефо, без конца готовому строить лодки, в который раз пересчитал свою таблицу и вновь разыскал в ней очередную погрешность.	196:207	0:208
погрешность	NOUN	1991-2017	2	погрешность-79		Без большой погрешности можно сказать, что напряжения в первичной и вторичной обмотках междулампового трансформатора всегда направлены противоположно, иначе говоря, вторичная обмотка играет роль тех добавочных витков, которые мы видели на рис. 3.	12:23	0:246
погрешность	NOUN	1991-2017	2	погрешность-80		Подпрограмма DMAN предназначена для интегрирования систем ДАУ, не разрешенных относительно производных и представленных в виде Во всех методах на каждом шаге интегрирования оценивается относительная локальная погрешность интегрирования для каждой дифференцируемой переменной (по отношению к максимальному абсолютному значению каждой переменной на заданном отрезке интегрирования).	209:220	0:380
погрешность	NOUN	1991-2017	2	погрешность-81		Мы постоянно маневрировали, меняли позиции и так же постоянно давали координаты с погрешностью в несколько километров.	82:94	0:118
погрешность	NOUN	1918-1990	1	погрешность-82		Приближенное равенство получилось вследствие погрешности самого анализа.	45:56	0:72
погрешность	NOUN	1918-1990	1	погрешность-83		При хронической дизентерии понос иногда исчезает на длительное время, но при малейших погрешностях в питании наступают обострения: в животе появляются боли, возобновляется понос со слизью или даже с прожилками крови.	86:98	0:216
погрешность	NOUN	1918-1990	1	погрешность-84		Проведение обследования систем водоснабжения с высоким удельным водопотреблением показывает, что сверхнормативный расход складывается: . из утечек воды во внутридомовой системе водоснабжения, утечек из сантехарматуры в жилых домах, в сетях холодного и горячего водоснабжения; . завышенного давления после хозяйственных насосов; . неучтенных арендаторов; . погрешности в учете численности населения.	356:367	0:398
погрешность	NOUN	1991-2017	2	погрешность-85		Не найдут ли космические географы каких-либо погрешностей у своих предшественников, привязанных к поверхности Земли С фотоаппаратом, а лучше -- с телекамерой на борту спутник заглянет во все, даже самые недоступные уголки.	45:57	0:222
погрешность	NOUN	1918-1990	1	погрешность-86		Расчет выделяемой на электроде массы металла (по закону Фарадея), которая соответствует утроенному значению инструментальной составляющей абсолютной погрешности (полагая, что инструментальная погрешность распределена по нормальному закону), дал следующие результаты: Абсолютные пределы обнаружения, а также стоимостные характеристики рассмотренных анализаторов представлены в табл.	149:160	0:381
погрешность	NOUN	1991-2017	2	погрешность-87		В пределах погрешности измерений, само собой.	11:22	0:45
погрешность	NOUN	1991-2017	2	погрешность-88		Результаты проверки двигателей, работавших в моторном режиме, приведены в табл. 1 и 2. Следует отметить, что данные, полученные в депо Ожерелье, зависят от настройки измерителя напряжения и погрешности тахометра.	190:201	0:212
погрешность	NOUN	1991-2017	2	погрешность-89		Измерение объема водорода производили при 25 C, погрешность измерения 1 мл.	48:59	0:75
погрешность	NOUN	1918-1990	1	погрешность-90		С его помощью можно также наглядно и численно сравнить характеристики двух размерностей шин и даже вычислить, какую погрешность будет давать спидометр.	116:127	0:151
погрешность	NOUN	1991-2017	2	погрешность-91		Есть погрешности.	5:16	0:17
погрешность	NOUN	1918-1990	1	погрешность-92		С какой точностью надо было бы измерить радиус земного шара, чтобы относительная погрешность была не больше, чем при измерении такой ничтожной, исчезающе малой величины как атом водорода Это нетрудный вопрос.	81:92	0:208
погрешность	NOUN	1918-1990	1	погрешность-93		Вкралась логическая погрешность.	20:31	0:32
погрешность	NOUN	1991-2017	2	погрешность-94		Средняя погрешность прогноза среднегодовой цены никеля мировых аналитических компаний и агентств составляет 25% (по другим основным цветным металлам она обычно не превышает 10%).	8:19	0:178
погрешность	NOUN	1991-2017	2	погрешность-95		Такой алгоритм измерения позволяет избежать погрешностей, связанных с застоем крови, вызванным излишней компрессией.	44:56	0:116
погрешность	NOUN	1918-1990	1	погрешность-96		Статистическая погрешность не превышает 3.4%.	15:26	0:45
погрешность	NOUN	1991-2017	2	погрешность-97		Но трудности и погрешности перевода были таковы, что исправить их можно было только через гласное обсуждение и широкое сотрудничество, а никак не через испуг, запрет или подозрение.	15:26	0:181
погрешность	NOUN	1991-2017	2	погрешность-98		Так как интеграл (5) определен для любых распределений, следовательно, и величину энтропийного значения погрешности можно определить для любого закона распределения случайной величины.	104:115	0:184
погрешность	NOUN	1991-2017	2	погрешность-99		Он искупал все погрешности своего ломкого, неустойчивого характера адским трудолюбием и все накопленное и познанное выплескивал в творчестве.	15:26	0:141
погрешность	NOUN	1991-2017	2	погрешность-100		Таким образом, цель данной работы -- методологическая: 1) на основе модели нечетких временных рядов дать метод оценки параметров модели; 2) проверить меру адекватности модели и исследуемого демографического процесса, т.е. вычислить погрешность метода; 3) провести сравнительный анализ результатов расчета: 4) выявить смысл модели как в теоретическом, так и в практическом плане.	232:243	0:378
погрешность	NOUN	1991-2017	2	погрешность-101		Однако погрешности хирургической техники (например, если врач уберет слишком много жира) могут спровоцировать синдром "стиральной доски" -- кожа в этих местах будет неровной.	7:18	0:174
погрешность	NOUN	1991-2017	2	погрешность-102		Температурная же погрешность не превысила 0,02 бар/C -- она также легко может быть учтена компьютером.	17:28	0:102
погрешность	NOUN	1991-2017	2	погрешность-103		Определение энтропийного коэффициента /о (3) -- так называемое энтропийное значение погрешности [2--4] Пояснения см. в тексте. -- плотность вероятности случайной величины.	84:95	0:171
погрешность	NOUN	1991-2017	2	погрешность-104		То есть от показателей прежней среднесрочной программы новые данные отличаются на несколько десятых процента, что, в сущности, находится в пределах погрешности счета.	148:159	0:166
