lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
серединный	ADJ	1682-1916	1	серединный-0		Серединная жизнь -- это наша жизнь, в которой мы живем в этом мире.	0:10	0:67
серединный	ADJ	1918-1990	2	серединный-1		И в своем роде он выше серединного, поверхностного культуртрегерства, обоготворяющего ценность культуры как подлинного творчества.	23:34	0:130
серединный	ADJ	1682-1916	1	серединный-2		Серединного положения быть не может.	0:11	0:36
серединный	ADJ	1918-1990	2	серединный-3		К серединному кольцу привязывался ремень, который в свою очередь прикреплялся к поясному ремню, надевавшемуся прямо на рубашку.	2:13	0:127
серединный	ADJ	1682-1916	1	серединный-4		Серединного решения, а именно: не уничтожая уроков Закона Божьего, сделать их необязательными для учащихся, -- никто не предлагал.	0:11	0:130
серединный	ADJ	1918-1990	2	серединный-5		Близость Сенной, обилие известных заведений и, по преимуществу, цеховое и ремесленное население, скученное в этих серединных петербургских улицах и переулках, пестрили иногда общую панораму такими субъектами, что странно было бы и удивляться при встрече с иною фигурой.	114:124	0:269
серединный	ADJ	1918-1990	2	серединный-6		Серединное положение находили только люди с богатым внутренним содержанием или совершенно безразличные.	0:10	0:103
серединный	ADJ	1918-1990	2	серединный-7		Передней стены города не было, не было и угловых башен, одиноко торчала воротная серединная башня с церковью, железные ворота в башне были сорваны, рвы кругом засыпаны обломками кирпича и дымили той же серебристой пылью.	81:91	0:220
серединный	ADJ	1918-1990	2	серединный-8		Серединные элементы сказки устойчивы.	0:10	0:37
серединный	ADJ	1918-1990	2	серединный-9		Это объяснение верно в том смысле, что если бы русское правительство выиграло бы войну, а способом выиграть войну были бы уступки так сказать серединной психологии русской мыслящей среды, то катастрофы бы не произошло.	142:152	0:218
серединный	ADJ	1918-1990	2	серединный-10		Абсолютная высота гребня выражается 9000 футов, подошва хребта у аршана, у подножия серединной морены -- 6875 футов.	84:94	0:116
серединный	ADJ	1918-1990	2	серединный-11		В творческом образе Достоевского нашла себе выражение русская нелюбовь к серединной культуре.	73:83	0:93
серединный	ADJ	1682-1916	1	серединный-12		Анализ серединных элементов позволит осветить и вопрос, почему сказка так часто начинается именно с беды, и что это за беда.	7:17	0:124
серединный	ADJ	1918-1990	2	серединный-13		Та, в которой все, по обыкновению, сидели, серединная комната, или гостиная, была у нас довольно большая и почти приличная.	43:53	0:123
серединный	ADJ	1682-1916	1	серединный-14		В ряду ровных и однообразных местностей серединной России, местность, занятую Старым Городом, по справедливости следует считать очень веселой и привлекательной.	40:50	0:160
серединный	ADJ	1682-1916	1	серединный-15		И это откровение человека в моральном творчестве -- всегда индивидуально-качественное, а не серединно-общее, где-то воссоединяется с моралью евангельской, с моралью св.	92:106	0:168
