lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
гермафродит	NOUN	1918-1990	1	гермафродит-0		Мантуя полна гермафродитами.	13:27	0:28
гермафродит	NOUN	1918-1990	1	гермафродит-1		Мы ходим в маленькие театрики "варьете", где картонные декорации были бы смешны, если бы не были так грустны, на ярмарки, где показывают гермафродита, сидим в кабачке, где подают голые, жирные женщины и где, опять же за пятак, можно получить чистое полотенце, если клиент решает пойти с одной из них "наверх".	137:149	0:309
гермафродит	NOUN	1918-1990	1	гермафродит-2		-- Гермафродит Вот уж не слышал, что бывают вокальные гермафродиты, -- покачал головой Фома.	3:14	0:92
гермафродит	NOUN	1991-2017	2	гермафродит-3		Разве эти духовные гермафродиты пойдут в бой!	19:31	0:45
гермафродит	NOUN	1918-1990	1	гермафродит-4		И только одно было почище канавных событий -- явление гермафродита Юлия Ленского.	54:66	0:81
гермафродит	NOUN	1918-1990	1	гермафродит-5		Проснулся от бессмысленного и ужасно изнурительного соития с маленьким мохнатым, совершенно мне незнакомым гермафродитом.	107:120	0:121
гермафродит	NOUN	1918-1990	1	гермафродит-6		Играл оркестр, но никто его уже не слышал, а толстому тенору -- гермафродиту посоветовали заткнуться по добру по здорову.	64:76	0:121
гермафродит	NOUN	1991-2017	2	гермафродит-7		У него же взято название гермафродитов в гл. 4 "Путешествия": Kos ou effmins (Потоцкий, стр. 211-212).	25:38	0:102
гермафродит	NOUN	1918-1990	1	гермафродит-8		Какой из вариантов они выбрали -- неизвестно, но за 40 поколений черви, практикующие секс, отлично приспособились к новым условиям, черви дикого типа приспособились хуже, а облигатные гермафродиты не приспособились совсем: их выживаемость в среде с вредными бактериями осталась на исходном низком уровне.	184:196	0:304
гермафродит	NOUN	1991-2017	2	гермафродит-9		На это я заметил, что, по имеющимся у меня сведениям, Бог сотворил женщину в голом виде, а что касается джинсов, то их сейчас носят все, и мужчины, и женщины, и гермафродиты.	161:173	0:174
гермафродит	NOUN	1918-1990	1	гермафродит-10		Например, известно, что у гермафродитов первого вида в подавлении активности tra-2 участвует ген fog-2, отсутствующий у второго вида.	26:39	0:133
гермафродит	NOUN	1991-2017	2	гермафродит-11		Потому безобразному гермафродиту, или людям с двумя позвоночниками, или же награжденным другими подобными же безобразными измышлениями писателей, лишенных красоты и знания, нет места в будущей эволюции.	20:32	0:202
гермафродит	NOUN	1991-2017	2	гермафродит-12		Но все двери оставались закрытыми, и отсутствие любви заставляло Пришвина страдать и гадать о неполноценности своего существования: "Может быть, я вроде душевного гермафродита, и та любовь, поверхностно-чувственная, есть вообще мужская любовь, а другая моя неудовлетворенная глубокая любовь -- есть обыкновенное чувство женщины".	163:175	0:329
гермафродит	NOUN	1991-2017	2	гермафродит-13		-- У меня роман с гермафродитом.	18:31	0:32
гермафродит	NOUN	1918-1990	1	гермафродит-14		Павел в комнате цесаревича долго рассматривал прекрасную мраморную копию гермафродита.	73:85	0:86
гермафродит	NOUN	1918-1990	1	гермафродит-15		Мне думалось, что может быть это у меня от разделенности моего существа, что, может быть, я вроде душевного гермафродита, и та любовь, поверхностно чувственная, есть вообще мужская любовь, а другая моя неудовлетворенная глубокая любовь -- есть обыкновенное чувство женщины.	108:120	0:273
гермафродит	NOUN	1991-2017	2	гермафродит-16		При перекрестном оплодотворении половина потомства оказывается гермафродитами, половина -- самцами.	63:77	0:99
гермафродит	NOUN	1991-2017	2	гермафродит-17		Со ссылкой на некий Второй Подмосковный собор 1996 года в устав введена следующая норма: "Запрещается крестить как нелюдей: труположников, содомитов, транссексуалов, гомункулов, гермафродитов (или в таковых постепенно перерождающихся), рогатых, мохнатых, хвостатых, шестопалых, чешуйчатых, сиамских близнецов и прочих, имеющих внешне нечеловеческие признаки".	178:191	0:359
гермафродит	NOUN	1991-2017	2	гермафродит-18		Тот пытался сопротивляться, но сильный удар ногой в пах заставил гермафродита согнуться пополам в болезненных судорогах и подчиниться твердой жестокой руке разозленной Антонины.	65:77	0:177
гермафродит	NOUN	1991-2017	2	гермафродит-19		У этого вида ключевую роль в обеспечении нормального сперматогенеза у гермафродитов играет другой ген -- she-1.	70:83	0:111
гермафродит	NOUN	1991-2017	2	гермафродит-20		Тут же Антонина, отбросив "пупку", бросилась на покрасневшего от страха гермафродита Коваленко и, схватив его за шею, пригнула голову прямо в воду, одновременно надавливая на кадык.	72:84	0:181
гермафродит	NOUN	1991-2017	2	гермафродит-21		Одна из копий изменилась, чтобы обеспечить активацию спермиев у гермафродитов, а вторая продолжила выполнение остальных функций.	64:77	0:128
гермафродит	NOUN	1918-1990	1	гермафродит-22		У него, как и положено, из глаз посыпались искры, причем куда ярче тех, которые сыпались, когда, пробираясь по чердаку наблюдать за далеким гермафродитом, он второпях налетал лбом на стропильную укосину.	140:153	0:203
гермафродит	NOUN	1918-1990	1	гермафродит-23		Неверман сообщает также, что на празднества являлись странные фигуры, "обладающие одновременно фаллосом и грудями и представляющиеся непредупрежденному наблюдателю гермафродитами.	164:178	0:179
