lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
корпус	NOUN	1918-1990	1	корпус-0		(Второй -- в пару ему: корпус ярко-клюквенный, а трубка -- болотистая.)	23:29	0:71
корпус	NOUN	1991-2017	2	корпус-1		И незачем допытываться, где же, в каком па танца или в каком наклоне корпуса лежит "момент критического освоения буржуазного хореографического наследства".	69:76	0:155
корпус	NOUN	1918-1990	1	корпус-2		-- Таня не договорила и повернулась всем корпусом в угол дивана, вдавила голову в широкую спинку.	41:49	0:97
корпус	NOUN	1918-1990	1	корпус-3		В зависимости от глубины армейского района, от протяжения фронта армии, от наличия и состояния путей сообщения и транспорта, от боевых задач, возлагаемых на входящие в состав армии корпуса, и от прочих условий обстановки из армейского (тылового) склада боеприпасов выделялись распоряжением зача вперед, ближе к войскам армейские передовые (промежуточные) склады боеприпасов, большею частью по одному на корпус.	181:188	0:410
корпус	NOUN	1918-1990	1	корпус-4		2 сентября авиация одного из корпусов сообщила, что от Даммартена к югу и юго-западу движется пехота.	29:37	0:101
корпус	NOUN	1918-1990	1	корпус-5		Многие из них были раздавлены его железным корпусом или разрезаны винтами.	43:51	0:74
корпус	NOUN	1918-1990	1	корпус-6		Корпус содрогался и стонал.	0:6	0:27
корпус	NOUN	1918-1990	1	корпус-7		Между вопросами, ответами и повторными вопросами Гладилина пробивался в паузах голос радиста, вызывающего штаб фронта, а Бессонову больше всего хотелось услышать доклад о прибытии Веснина в танковый корпус или хотя бы в 305-ю и вытеснить из сознания беспокойство о нем.	199:205	0:269
корпус	NOUN	1991-2017	2	корпус-8		А на месте двух корпусов дома 41 по Ленинградскому проспекту, которые пойдут под снос, появится Дворец танцевального спорта.	16:24	0:124
корпус	NOUN	1991-2017	2	корпус-9		Отвалы, узкоколейки и глухие корпуса окраин словно отражались в небе, и над гуляющими толпами висели взрытые породы, серые дымы.	29:36	0:128
корпус	NOUN	1918-1990	1	корпус-10		Анализ приведенных в нем статей дает основание считать наиболее эффективными мерами противодействия разрабатываемой системе НПРО суббоеприпасы, ЛЦ-ловушки и боеприпасы с охлажденными корпусами.	183:192	0:193
корпус	NOUN	1991-2017	2	корпус-11		В целях своевременного переключения в ходе боя артиллерийских масс для обеспечения успеха в ином направлении к началу боя командирам артиллерийских корпусов организовать связь по линии взаимодействия с командующим артиллерией соседней армии.	148:156	0:241
корпус	NOUN	1918-1990	1	корпус-12		Армия устояла благодаря корпусу офицеров, который после 1905 года, относясь с большим вниманием, анализом, не раз осуждением, к некоторым явлениям военной и общегосударственной жизни, сохранил характер государственно-охранительной силы.	24:31	0:236
корпус	NOUN	1918-1990	1	корпус-13		Командирам корпусов организовать огни на важнейших направлениях в полосе обороны корпуса и на стыках между дивизиями (бригадами).	11:19	0:129
корпус	NOUN	1991-2017	2	корпус-14		В Петрограде воспитанники 1-го корпуса освистали капитана И. Дзевалтовского, вздумавшего агитировать их за "революционные порядки".	31:38	0:131
корпус	NOUN	1991-2017	2	корпус-15		На сегодня в строящемся корпусе ведется подготовка к отделочным работам.	24:31	0:72
корпус	NOUN	1918-1990	1	корпус-16		В двух километрах от пионерлагеря пролегала дорога, параллельная той, по которой к штабу корпуса проносились автомашины.	89:96	0:120
корпус	NOUN	1991-2017	2	корпус-17		Можно думать, что в этом случае на выручку 20-гo корпуса поспешили бы ближайшие части 10-й армии. 15-й корпус мог выйти из крепости Гродно навстречу главным силам и 26-й корпус ударом на м. Липск сковать находящегося там противника.	49:56	0:232
корпус	NOUN	1918-1990	1	корпус-18		В детстве -- пустота корпуса в субботу и в воскресенье, когда мы не ездили в отпуск.	21:28	0:84
корпус	NOUN	1918-1990	1	корпус-19		Еще на старте Витюха сразу же на целый корпус опередил остальных, потом с каждой секундой разрыв увеличивался, и сейчас, когда Витюха шел по последней прямой, те, другие, еще отталкивались на повороте от стенки.	39:45	0:211
корпус	NOUN	1918-1990	1	корпус-20		В современных конструкциях БРЭМ вращающийся подъемный кран обычно монтируется ближе к борту на крыше корпуса и управляется крановщиком, находящимся внутри машины.	101:108	0:162
корпус	NOUN	1991-2017	2	корпус-21		По близорукости мне еще в Финляндском корпусе разрешили употреблять в классе лорнет.	38:45	0:84
корпус	NOUN	1918-1990	1	корпус-22		Все мы получили совершенно определенный приказ командира корпуса -- овладеть Бескидским хребтом и вторгнуться в Венгрию.	57:64	0:120
корпус	NOUN	1918-1990	1	корпус-23		Во время дебатов по этому поводу в штабе армий сомнения были устранены с получением известия, что корпуса Наревской армии уже частично перешли южную границу Восточной Пруссии и вышли на линию Юха, Пельты, Хоржеле, Кржиновлога, Млава, что могло поставить под угрозу тыл и пути 8-й германской армии к Висле.	98:105	0:305
корпус	NOUN	1918-1990	1	корпус-24		Вчера вошел в город гвардейский корпус Ленфронта.	32:38	0:49
корпус	NOUN	1918-1990	1	корпус-25		И если было положено начало некоторому физическому развитию в кадетских корпусах и в отдельных гимназиях, то ведь это были случайные мероприятия и чтобы создать массовое движение в этом направлении необходимы колоссальные и продолжительные усилия.	72:80	0:247
