lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
модель	NOUN	1991-2017	2	модель-0		"Провинциалка" связана с текстом "Вечного мужа": герои Достоевского поминают героев Тургенева, салонная комедия служит моделью для психологических умоисступлений.	119:126	0:162
модель	NOUN	1991-2017	2	модель-1		Однако модель государства общественного договора была столь идеализированной, что даже ее сторонники не могли придти к общему мнению, каким оно должно было быть.	7:13	0:161
модель	NOUN	1918-1990	1	модель-2		-- Не может быть! -- возмутилась Алиса, которой разведчики на прощание подарили вырезанную из дерева модель вездехода, шахматы из кости ископаемого параллелепипеда, ножик для разрезания бумаги, выточенный из коры стеклянного дерева, и еще множество интересных вещей, которые они сами мастерили длинными вечерами.	101:107	0:312
модель	NOUN	1918-1990	1	модель-3		В новой роли после пропитки Химические пропитки придают известным ранее тканям новые свойства, а это приводит к созданию новых моделей.	127:134	0:135
модель	NOUN	1918-1990	1	модель-4		Модель всегда будет в чем-то действовать не так, как сам объект.	0:6	0:64
модель	NOUN	1918-1990	1	модель-5		Друзья прошли в комнату, опутанную проводами, загроможденную радиоприемниками, моделями и металлическим хламом.	79:87	0:111
модель	NOUN	1918-1990	1	модель-6		Модель следующая: два черных ящика "угадывают" состояние друг друга (что задумал противник).	0:6	0:92
модель	NOUN	1918-1990	1	модель-7		В музее экспонированы модели советских автомобилей новейших марок.	22:28	0:66
модель	NOUN	1991-2017	2	модель-8		Аналитик ИК "Проспект" Дмитрий Дружинин считает, что среднесрочная перспектива прогноза ASPO вводит в модель слишком большое количество неизвестных.	102:108	0:148
модель	NOUN	1991-2017	2	модель-9		Подобно тому как чучело может крайне скрупулезным образом -- вплоть до последней волосинки на хвосте -- передавать внешний облик животного, так и письменно зафиксированная мелодия может точно соответствовать контуру мелодии, рожденной модусной моделью через посредство принципа varietas в процессе живого пропевания.	244:251	0:316
модель	NOUN	1991-2017	2	модель-10		Более широкое распространение получила каталитическая очистка духовки, при которой вся внутренняя поверхность жарочного шкафа (или только лопасти вентилятора и боковые стенки) покрывают специальной эмалью, поглощающей жиры во время приготовления пищи (модели от ELECTROLUX и ZANUSSI).	252:258	0:284
модель	NOUN	1991-2017	2	модель-11		В противном случае вместо увеличения продаж прогнозируем обратный эффект, называемый маркетологами "каннибализмом": новая модель "съедает" продажи близкой по классу машины, а вместо роста прибыли растут затраты.	122:128	0:211
модель	NOUN	1918-1990	1	модель-12		Большинство крупных производителей часов наносят на корпус моделей монограмму -- полное название компании или ее логотип.	59:66	0:121
модель	NOUN	1991-2017	2	модель-13		Да, немало придумано ухищрений, чтобы заставить модель двигаться с большей скоростью.	48:54	0:85
модель	NOUN	1991-2017	2	модель-14		В очередной обзор летних шин "Автопилот" включил около десятка новинок (на российском шинном рынке) и свыше двадцати моделей шин, уже хорошо зарекомендовавших себя в летней эксплуатации.	117:124	0:186
модель	NOUN	1991-2017	2	модель-15		Скажем, в модели, предлагаемой Кириченко (наиболее развитой в формальном отношении), композиции эклектики характеризуются такими формальными качествами, как дробность, мелочность, аморфность, незавершенность.	10:16	0:208
