lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
голубой	ADJ	1918-1990	1	голубой-0		-- А что -- Китайцев с белыми волосами и голубыми глазами не бывает.	41:49	0:68
голубой	ADJ	1991-2017	2	голубой-1		Всюду кругом голубое небо.	13:20	0:26
голубой	ADJ	1918-1990	1	голубой-2		-- Простите старика, -- сказал он, слегка щуря от света голубые, как бы со слезой, глаза, -- бессонница.	56:63	0:104
голубой	ADJ	1991-2017	2	голубой-3		Спали вышитые наплечники корсажа, хрипнула передняя планшетка корсета, показалось батистовое смятое продольными складками белье, голубые ленты резинок и шелковые чулки, обнажилось белое, полное, нежное тело.	129:136	0:207
голубой	ADJ	1991-2017	2	голубой-4		Голубая окраска.	0:7	0:16
голубой	ADJ	1991-2017	2	голубой-5		-- Голубые, как в стихах Есенина.	3:10	0:33
голубой	ADJ	1991-2017	2	голубой-6		Голубой дым дури слоился под низкими полированными стропилами, раскачивались жестяные фонари, подавались коктейли "Оргазм креветки", "Ночь Лаврентия Берии" и простейший "Гармонь в Мулен-Руж": водка с коньяком и горстью неочищенных семечек.	0:7	0:239
голубой	ADJ	1991-2017	2	голубой-7		Того и гляди, бабахнет голубым и белым.	23:30	0:39
голубой	ADJ	1918-1990	1	голубой-8		Голубые глаза ее смущенно опущены и золотая брошь на полной груди подымалась и тонула, как в волне челнок.	0:7	0:106
голубой	ADJ	1918-1990	1	голубой-9		В цветниках вдоль проспекта, против памятника великому матросу, положившему жизнь свою за честь Андреевского флага и за славу России, цвели пестрые астры и лиловые гелиотропы, и вдоль зеленого газона мохнатым узором переплеталась голубая лобеллия с коричневыми и желтыми листочками декоративных травок.	230:237	0:302
голубой	ADJ	1918-1990	1	голубой-10		Голубые льдинки глаз в белесых ресницах.	0:7	0:40
голубой	ADJ	1991-2017	2	голубой-11		Вместо чистой голубой воды перед ними расстилались бурые помои, по поверхности которых плавали листья, ветви, сучья, кусты и целые стволы, выброшенные потоком в море.	14:21	0:166
голубой	ADJ	1918-1990	1	голубой-12		Алый ковер на стене еще казался бархатисто-черным, голубая диванная подушка выделялась на нем светлым, бескрасочным пятном.	51:58	0:123
голубой	ADJ	1918-1990	1	голубой-13		Но Бережков без шуток требовал голубых глаз.	31:38	0:44
голубой	ADJ	1918-1990	1	голубой-14		Артист был намного старше Дины, но имел львиную, припорошенную сединой гриву, носил сногсшибательные, сшитые лучшим ленинградским закройщиком костюмы и ездил на небесно-голубой "Волге".	-1:13	0:185
голубой	ADJ	1991-2017	2	голубой-15		Вахтмайстер Балдер, невысокий, очень тучный, спокойный, во все время допроса молча стоял у стола, медленно и сонно поводя набрякшими влагой многоопытными голубыми глазами, мерно сопел, и при каждом вдохе и выдохе его тучное покойное тело, облаченное в серый мундир, то всходило, то опадало, как опара.	154:162	0:301
голубой	ADJ	1918-1990	1	голубой-16		Белые вертикали с крючками, выгнутые перила, ступени, ослепительные горизонтали, скудная роскошь белого на голубом.	107:114	0:115
голубой	ADJ	1991-2017	2	голубой-17		Шли сквозь боры по влажным цветущим мхам, все изножье молодых сосняков переливалось голубым, розовым, нежным, уже встречались коралловые бурые глыбы первых вешних грибов.	84:91	0:170
голубой	ADJ	1918-1990	1	голубой-18		Белый рояль В новогоднем "Голубом огоньке" 1981 года Алла Пугачева (появления которой на экране ждала вся хмельная страна) пела новую песню: На сцене за роялем сидел хмурый человек, к которому певица как бы обращалась, называя его "маэстро".	26:33	0:241
голубой	ADJ	1991-2017	2	голубой-19		Открылся вольный свет, голубой воздушный, простор, -- а у ног накатанная полоса, уходившая вдаль плавным эллипсом.	23:30	0:114
голубой	ADJ	1918-1990	1	голубой-20		В выемку черной лакированной поверхности рояля виньеткой вписан грациозный Асеев: Голубые озера Хлебникова вышли из берегов, потушили белую ночь за окном.	82:89	0:154
голубой	ADJ	1918-1990	1	голубой-21		Но чаще то в одной, то в другой стороне, сквозь ночную темь протягивались длинные голубые лучи прожекторов.	82:89	0:107
голубой	ADJ	1918-1990	1	голубой-22		В ее голубых глазах светилась такая простота и смирение, что Жан невольно сделал шаг назад.	5:12	0:91
голубой	ADJ	1991-2017	2	голубой-23		На блую съ голубыми полосками рубашку, безъ воротника и безъ галстуха, накинутъ потрепанный пиджачишко, штаны въ полоску спускаются едва до щиколотокъ, а на большихъ ногахъ обуты толстоносые американске рыже ботинки.	11:19	0:216
голубой	ADJ	1918-1990	1	голубой-24		В поселке Винсенс, где население преимущественно состоит из французов, Кларка встретили довольно дружелюбно, а некоторые жители Голубой долины оказали его разведчикам прямую поддержку.	128:135	0:184
голубой	ADJ	1918-1990	1	голубой-25		Волосы женщины в крупных завитках, со лба прихвачены голубой лентой, лицо густо смазано кремом, и оттого сразу не разглядишь, что женщина уже в немалых годах, девственно-небесная лента не гармонирует, книжно говоря, с ее обличьем, истасканным и несколько даже суровым.	53:60	0:268
голубой	ADJ	1991-2017	2	голубой-26		Взошедшее солнце парчовым рукавом смахнуло остатки Ночи со свадебного стола и наполнило голубые кубки пенящейся пустотой.	88:95	0:121
голубой	ADJ	1991-2017	2	голубой-27		Во времена олигархического телевидения площадка голубого экрана была превращена в театр, где все пиарили всё: политиков, события, ситуации.	48:56	0:139
голубой	ADJ	1991-2017	2	голубой-28		Видела сон: как будто белые пушистые облака, а все небо голубое, голубое, и из облаков медленно выплывает ввысь сказочной красоты дворец.	56:63	0:137
голубой	ADJ	1991-2017	2	голубой-29		Рано утром, в Выхино, было пасмурно и накрапывал дождь, а сейчас, что называется, распогодилось, человек видит утреннее высокое голубое небо, сосны, просторные поля около платформы Совхоз, и ему становится не то что бы хорошо, но как-то немного полегче.	128:135	0:253
голубой	ADJ	1918-1990	1	голубой-30		Вот вам красивая двойная звезда -- голубая и желтая -- в созвездии Лебедя.	35:42	0:74
