lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
классный	ADJ	1918-1990	1	классный-0		-- "А что, одни девушки Вот этот хорошо прошел, классный шар!" -- "Они, наверно, думают, что среди писателей есть женихи.	48:56	0:121
классный	ADJ	1918-1990	1	классный-1		-- Ах, какой у меня был сегодня классный полет! -- стал объяснять техасский комик своему антрепренеру, сходя с самолета.	32:40	0:120
классный	ADJ	1918-1990	1	классный-2		-- Классные тебе сны снятся! -- сказал Женька.	3:11	0:46
классный	ADJ	1991-2017	2	классный-3		"Своей" хозяйственной части я так и не нашел (она, потом оказалось, на подводах отправилась в Таврию), но набрел на хозяйственную часть 1-й батареи (классный вагон и 25 товарных), заведующий которой посоветовал мне отправиться в Павлоград, куда, по имевшимся сведениям, должна была прийти Гвардейская конная артиллерия.	149:157	0:319
классный	ADJ	1918-1990	1	классный-4		-- Абсолютно правильно пишут, что общественность должна влиять, -- заметила Лариса Павловна тоном классной дамы.	98:106	0:112
классный	ADJ	1918-1990	1	классный-5		Ты украла классный журнал!!!	10:18	0:28
классный	ADJ	1918-1990	1	классный-6		-- Как будто сижу в голубом "Порше", а мне навстречу классная телка на мотоцикле.	53:61	0:81
классный	ADJ	1991-2017	2	классный-7		И вот первого декабря, в морозный бесснежный день в тишину наших классных занятий ворвался непривычный и непонятный звук мотора.	65:73	0:128
классный	ADJ	1991-2017	2	классный-8		-- Меня классная попросила напечатать.	8:16	0:38
классный	ADJ	1991-2017	2	классный-9		Наверное, классно быть мамой таких красивых детей:-) , 2004.03.31 23:37. спасибо.просто классно быть мамой , 2004.04.01 10:34.	10:17	0:126
классный	ADJ	1991-2017	2	классный-10		-- Многие эстрадные звезды поют под "фанеру", а это больших трудов не составляет -- Нет, с нами ехала классная аппаратура и, как правило, это всегда был живой звук.	102:110	0:164
классный	ADJ	1991-2017	2	классный-11		Неужели это возможно Неужели осуществятся мои старые мечты, рефлексии моей незрелости, мастурбические импульсы моего вечного несовершеннолетия, промельки смутных откровений, иными словами, вся моя жизнь осуществится на экране Прежде всего мне нужна классная музыка для этой штуки.	249:257	0:280
классный	ADJ	1918-1990	1	классный-12		-- Мы, Моисеич, классную тачку тебе подарим, ты заработал, -- подогревал страсти Ксюша, попыхивая своей неизменной трубкой.	16:24	0:123
классный	ADJ	1991-2017	2	классный-13		Вдобавок ко всему педсовет вынес постановление об издании в каждом классе одного официального классного журнала -- дневника.	94:103	0:124
классный	ADJ	1991-2017	2	классный-14		-- Ну, короче, когда Обезьяна ее ебал, она лыбу давила -- типа, все классно.	68:75	0:76
классный	ADJ	1991-2017	2	классный-15		Служкин успел заметить потрясенный взгляд Маши Большаковой и тотчас уткнулся в раскрытый классный журнал.	89:97	0:105
классный	ADJ	1918-1990	1	классный-16		-- Он именовал меня классной руководительницей.	20:28	0:47
классный	ADJ	1918-1990	1	классный-17		-- Здесь, -- торжественно провозгласил он, -- хранятся все лучшие сочинения моих учеников, классные и домашние работы, собранные за тридцать пять лет моей педагогической деятельности.	91:99	0:183
классный	ADJ	1918-1990	1	классный-18		-- Ты же видишь, папуля, у Наташки все при себе, она классная девка, только с мужьями ей не везло.	53:61	0:98
классный	ADJ	1991-2017	2	классный-19		Первая классная задача после каникул -- совершенно пустяковая.	7:15	0:62
классный	ADJ	1918-1990	1	классный-20		...Стол, стул, физические приборы, классный журнал -- все, что секунду назад в беспорядке валялось на полу, тотчас же оказалось на своих местах.	35:43	0:144
классный	ADJ	1918-1990	1	классный-21		Давала ему уроки старая дева, бывшая классная дама девичьего института.	37:45	0:71
классный	ADJ	1991-2017	2	классный-22		2. Штраф либо лишение права занимать определенные должности или заниматься определенной деятельностью, лишение специального, воинского или почетного звания, классного чина и государственных наград при сложении их с ограничением свободы, арестом, содержанием в дисциплинарной воинской части, лишением свободы исполняются самостоятельно.	157:166	0:335
классный	ADJ	1991-2017	2	классный-23		Классное зрелище -- русская мафия!	0:8	0:34
классный	ADJ	1918-1990	1	классный-24		Классному руководителю Маргарите Ивановне Кузьминой объявить выговор.	0:9	0:69
классный	ADJ	1918-1990	1	классный-25		Классным наставником был у нас учитель латинского и греческого языков, В. Н.	0:8	0:76
классный	ADJ	1991-2017	2	классный-26		Классные руководители дополнительно ходят по дворам, предупреждая учеников и их родителей, чтобы они были внимательны сами и не разрешали баловаться с огнем другим детям.	0:8	0:170
классный	ADJ	1991-2017	2	классный-27		-- Классная музыка, -- сказал я, прикрывая дверь, чтобы было потише.	3:11	0:68
классный	ADJ	1918-1990	1	классный-28		Классный телеграфист, просто бог в этом деле.	0:8	0:45
классный	ADJ	1991-2017	2	классный-29		Впрочем, они всех одноклассников называли по фамилии, но Шуту эта манера обращения пришлась не по вкусу, и однажды, когда две неразлучные подружки были уличены учителем в том, что списали друг у друга классное сочинение.	201:209	0:220
классный	ADJ	1918-1990	1	классный-30		А самое ценное -- это когда на небольшие деньги делается действительно классное шоу.	71:79	0:84
классный	ADJ	1991-2017	2	классный-31		Некоторое время отсиживался он дома, но мать упорно стояла на своем, и вот третья по счету классная доска начала маячить перед Гришкиными глазами.	91:99	0:146
классный	ADJ	1918-1990	1	классный-32		Бывший с ними мальчик 11-ти лет, Вася Тихоменко, который учился вместе со мной во второй классной приходской школа, сказал солдатам: -- Убейте его.	89:97	0:147
классный	ADJ	1918-1990	1	классный-33		А без классных производителей -- товар не тот, на крупных международных призах не тянем.	6:14	0:88
классный	ADJ	1918-1990	1	классный-34		Витя, 10 апреля 1980 года, утро Четвертая четверть -- самая классная.	60:68	0:69
классный	ADJ	1991-2017	2	классный-35		-- Это не девочка, это божья коровка, -- говорила, закатывая глаза, классная дама.	68:76	0:82
классный	ADJ	1991-2017	2	классный-36		Во-первых, в 1970--1980 гг. была создана сеть заводов, рассчитанных на переработку сравнительно узкого (15% от всей номенклатуры) диапазона алмазного сырья высшего качества с производством классной продукции (так называемые бриллианты марки Russian Cut).	189:197	0:254
классный	ADJ	1991-2017	2	классный-37		Я здесь знаю магазин где часто на люкс бывает 15-20% скидка, а 10% это закон, они всегда дают 10%, вот мне кажется и смысла нет на strawberrynet покупать, Ebay другое дело, бывает совсем классная цена, но зато уже два раза левак.	187:195	0:229
