lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
рыночный	ADJ	1918-1990	1	рыночный-0		"Правительственное решение создать именно 10 генкомпаний действительно позволит получить довольно сильных рыночных игроков, -- сказал "Известиям" аналитик ИК "Проспект" Александр Корчагин, -- хотя понятно, что цифра "10" -- достаточно условная".	106:114	0:245
рыночный	ADJ	1991-2017	2	рыночный-1		Исключение было сделано для поземельных налогов, которые население должно было вносить: в пограничных департаментах натурой (зерном), для облегчения продовольствования армий, а в остальной Франции мандатами, по рыночной стоимости зерна в них.	211:219	0:242
рыночный	ADJ	1918-1990	1	рыночный-2		* * * Плановый туризм умер в эпоху хаоса при переходе к рыночным отношениям.	56:64	0:76
рыночный	ADJ	1991-2017	2	рыночный-3		Он ел все самое простое, что значилось в меню столовых, но дома с аппетитом обсасывал кожицу жирного угря, купленного из-под полы у рыночного спекулянта.	132:141	0:153
рыночный	ADJ	1991-2017	2	рыночный-4		-- Как в таком случае отличить демпинг от нормального рыночного снижения цены -- Существуют рекомендованные базовые цены, торговля по которым устраивает всех.	54:63	0:158
рыночный	ADJ	1991-2017	2	рыночный-5		При этом очевидно, что экспансия бюрократии и силовиков носит объективно антимодернизаторский характер, угрожая инвестиционной привлекательности страны и встраиванию России в глобальную рыночную экономику.	186:194	0:205
рыночный	ADJ	1918-1990	1	рыночный-6		-- Представление окончено! -- провозгласил старик и двинулся вперед, проталкиваясь сквозь рыночную толпу.	90:98	0:105
рыночный	ADJ	1918-1990	1	рыночный-7		Мы думали, что мы можем одним взмахом и сразу уничтожить рыночные отношения.	57:65	0:76
рыночный	ADJ	1991-2017	2	рыночный-8		1 октября 1997 года президент Белоруссии Лукашенко издал указ, вводивший задним числом акциз на спирт в размере 2 доллара за литр, что равнялось его рыночной цене.	149:157	0:163
рыночный	ADJ	1991-2017	2	рыночный-9		Анализ расстановки и влияния основных политических сил позволял сделать вывод, что -- независимо от того, чем кончится противостояние президента и парламента, -- Россия будет продолжать мучительное, медленное, с откатами назад продвижение к демократии, к социальному рыночному хозяйству.	267:276	0:287
рыночный	ADJ	1991-2017	2	рыночный-10		Рыночный рай.	0:8	0:13
рыночный	ADJ	1991-2017	2	рыночный-11		КОРНИЛОВ, кандидат экономических наук, доцент Нижегородского государственного технического университета С.Н. ЯШИН, доктор экономических наук, профессор Нижегородского государственного технического университета Формирование рыночных отношений в российской экономике привело к возрастанию потребности субъектов хозяйствования в точности и достоверности оценки объектов рыночного обмена.	223:231	0:384
