lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
карта	NOUN	1991-2017	2	карта-0		* Разработаны методические проблем, связанные с особенностями машиночитаемой формы исторических карт, а также технические вопросы использования географических информационных систем и способов хранения и конвертирования машиночитаемого картографического материала.	96:100	0:263
карта	NOUN	1991-2017	2	карта-1		Уже повзрослев, безуспешно искала его на карте, стыдясь признаться в своем невежестве.	41:46	0:86
карта	NOUN	1918-1990	1	карта-2		-- Вам и карты в руки, -- я вздохнул.	9:14	0:37
карта	NOUN	1991-2017	2	карта-3		Он припомнил банку консервов, которая выпала из ватника Секача; карту, висевшую на стене в штабе, на которой был обведен район базирования их отряда.	64:69	0:149
карта	NOUN	1918-1990	1	карта-4		-- Господин Никитин, я буду откровенен, я раскрою перед вами карты во имя истины.	61:66	0:81
карта	NOUN	1918-1990	1	карта-5		-- Ну-с, проверим, -- взялся он снова за карты.	41:46	0:47
карта	NOUN	1918-1990	1	карта-6		-- Покупаешь карту, -- попыталась угадать Инка.	13:18	0:47
карта	NOUN	1991-2017	2	карта-7		Я привык думать параллельно жизни, и мысль от этого не стала бесплодной, а стала потаенной -- но искусство прозы и есть настоящее искусство скрывать свои мысли, не для того, конечно, чтобы их скрыть, ведь мысли -- не карты и не козыри в картах, а по неистребимой китайщине, где и слов-то не остается для мысли, и она мыслится знаками, которые никто, кроме тебя, и не расшифрует, а ты начнешь расшифровывать и запутаешься, к тому же постоянно боишься, что не лег вовремя спать -- неизвестно, чем это скажется завтра, и твой расторможенный, подвижный организм, уравновешенный только усилиями воли, способный и на то, чего от него не ждешь, и на то, что уже бывало, и на то, что, может быть, понадобится, не подает никаких достоверных сигналов, -- но вот, кажется, зеваю -- это можно принять за достоверный сигнал, и я оставляю бесконечное начало, которое все бы начиналось, начиналось и было бы на самом деле бесконечным началом, где все постоянно только начинается, и, начинаясь, расширяется в своем начале, и остается только растущим началом неизвестно чего, но только началом и всегда началом.	217:222	0:1094
карта	NOUN	1918-1990	1	карта-8		-- Соня, не перечь, -- ответила бабушка, не отрывая глаз от карт.	60:64	0:65
карта	NOUN	1918-1990	1	карта-9		Что же касается тысячи, им лично растраченной, то Грибовский признался, что проиграл ее в карты, ведя игру с вице-губернатором, губернским прокурором и председателем уголовной палаты.	90:95	0:183
карта	NOUN	1918-1990	1	карта-10		-- Ты мне толком расскажи: как на правом фланге, у Журавского Удержались Нигде не отошли Капитан Смольянинов присел на табурет у кровати и подробно рассказал, как Брянцев, приняв командование полком, изучил пометки Озерова на карте, быстро разгадал замысел противника и вовремя успел подбросить подкрепление батальону Журавского.	226:231	0:329
карта	NOUN	1918-1990	1	карта-11		Достаточно посмотреть на карту верховьев рек Камы и Вятки.	25:30	0:58
карта	NOUN	1918-1990	1	карта-12		Карты, например, всегда были в два цвета: черный и красный.	0:5	0:59
карта	NOUN	1918-1990	1	карта-13		Им, как говорится, и карты в руки, рассуждали албанские руководители; тут-то они и возьмут реванш.	21:26	0:98
карта	NOUN	1918-1990	1	карта-14		А за что Первое -- за то, что не садился за стол в карты играть с акцизными чиновниками; второе -- за то, что аппарат изобрел и летать по воздуху вздумал.	51:56	0:154
карта	NOUN	1918-1990	1	карта-15		От Волги к Уралу потечет своего рода глубокая большая река с шириной по дну около 100 м, равная примерно Оке, река, которой еще не было на географических картах.	154:160	0:161
карта	NOUN	1991-2017	2	карта-16		Безусловно, будем проводить линию в поддержку "дорожной карты" в ходе предстоящей встречи "четверки".	56:61	0:101
карта	NOUN	1991-2017	2	карта-17		В настоящий момент в регистрационной карте включена поддержка 57 признаков.	37:42	0:75
карта	NOUN	1918-1990	1	карта-18		Бирючева 675 Красные горки (Красн. яр) 684 Лесной участок 694 Аклюстино 696 Владимировка 699 Варяж 704 Антоновка 709 Лукмановский 715 Последняя 773 Кляшева 735 Станица Карашиды 760 Князево-Ураково (вблизи ж.-д. моста) 800 Уфа Расстояния показаны по карте, составленной в 1934 году самодеятельной группой (Кузьмичева, Рябова и Цельмер).	249:254	0:335
карта	NOUN	1918-1990	1	карта-19		Вернувшись в свой маленький кабинет на первом этаже, с единственным окном, прикрытым изнутри решеткой, а теперь еще и синей, из плотной бумаги маскировочной шторой, Звягинцев взглянул на часы, открыл сейф, вынул карту и разложил ее на столе.	212:217	0:241
карта	NOUN	1918-1990	1	карта-20		В 2003 году миграционную карту получили 1,5 миллиона иностранных граждан.	25:30	0:73
карта	NOUN	1991-2017	2	карта-21		Для полетов мы пользовались морскими картами.	37:44	0:45
карта	NOUN	1991-2017	2	карта-22		В 600 рублей можно уложиться, если предъявить приехавшей бригаде заранее купленную пластиковую карту "Медэкспресса-НН".	95:100	0:119
карта	NOUN	1991-2017	2	карта-23		Новая карта России После президентских выборов карта России начнет серьезно меняться.	6:11	0:85
карта	NOUN	1991-2017	2	карта-24		В данной статье сформулирована задача генерализации фрагментов электронной карты в сетевой ГИС, использующей систему картографических образов.	75:80	0:142
карта	NOUN	1991-2017	2	карта-25		Постепенно грусть прошла, глаза обрели спокойное выражение, и он, встряхнув плечами, вернулся к действительности, вытащил тряпичную карту, повертел в руках, но не стал разбираться в ней, сунул назад в карман.	132:137	0:208
карта	NOUN	1918-1990	1	карта-26		В какой-то момент Лёха, безропотно -- в отличие от остальных -- подчиняясь чётким указаниям штурмана Владимира Максимовича с его "секретной" картой, выруливая между очередной сопкой и крутым бугристым барханом, вдруг резко тормозит.	141:147	0:232
карта	NOUN	1991-2017	2	карта-27		Карты на стол Что ж, возможно, это зависит от вас.	0:5	0:50
карта	NOUN	1918-1990	1	карта-28		В случае учета карты газового поля в приповерхностных отложениях Восточно-Горинской площади геофизические работы могли быть сосредоточены на двух объектах (I и III) с сокращением детальности геофизических исследований на антиклинали (II).	15:20	0:238
карта	NOUN	1991-2017	2	карта-29		Обедали у Андрие без аппетита, пили без (завлечения) веселости, ездили к С. А. (без нужды) (чтобы позевать и) побесить (ее) бедную старуху своею притворной безразборчивостию; день убивали кое-как, а вечером по очереди собирались друг у друга (и до зари) (и всю ночь проводили за картами).	279:286	0:288
карта	NOUN	1991-2017	2	карта-30		В этом новом пейзаже мы поняли, что могли бы спокойно и свободно сказать "да" только неслышному голосу тайного согласия, согласившись с согласием мира; что в этом согласии мир только и начинает впервые для нас присутствовать как целое, а до того был разбросан, и мы были растеряны, хоть не признавались, и не могли найти свое место в мире, а теперь нашли, не точку на карте, а себя, и наше место оказалось -- мир, молчаливое согласие.	368:373	0:434
карта	NOUN	1991-2017	2	карта-31		Первоначальный взнос составит 20%, а дальнейшие выплаты будут определяться в каждом случае по отдельному графику. Contour уже сейчас подробно расписывает программу продвижения новых коллекций: с мая по август будут действовать скидки от 10 до 31 %, в сентябре вводятся накопительные дисконтные карты.	294:299	0:300
карта	NOUN	1991-2017	2	карта-32		Выбор масштабов карт Обоснование масштаба карт атласа -- один из ключевых моментов проектирования.	16:20	0:98
карта	NOUN	1991-2017	2	карта-33		Его безапелляционное "мы не будем вести переговоры по "Дорожной карте"" должно было стать более чем достаточным предупреждением о содержании документа, наконец увидевшего свет 30 апреля.	64:69	0:186
карта	NOUN	1918-1990	1	карта-34		Голубые и синие на горизонте, они становились темно-коричневыми на карте.	67:72	0:73
карта	NOUN	1991-2017	2	карта-35		На обеденном столе валялись карты и деньги.	28:33	0:43
карта	NOUN	1918-1990	1	карта-36		Двигаться в направлении того квадрата топографической карты, что выцветал на моей стене.	54:59	0:88
карта	NOUN	1991-2017	2	карта-37		У круглого стола в середине поста, над голубой картой рельефа дна Саргассова моря, склонился капитан.	47:53	0:101
