lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
пакет	NOUN	1918-1990	2	пакет-0		Там занимаются тем, чем занимаются умные и добрые светские люди (рассказыванием рассказов), тем, что будет в следующих пакетах Дензиля Эллиота редактору "Вестника Европы" (Стасюлевичу, -- который ничего не напечатал из этого).	119:126	0:226
пакет	NOUN	1918-1990	2	пакет-1		-- Предлагаю вместо гробов использовать полиэтиленовые пакеты -- экономим на дереве!	55:61	0:84
пакет	NOUN	1682-1916	1	пакет-2		-- Бабушка больна, она не может к вам приехать, -- лепетал на французском языке ребенок, -- и она вам прислала! -- заключил он, показывая большой пакет.	146:151	0:152
пакет	NOUN	1682-1916	1	пакет-3		Помощник казначея таможни Ромуальд Гейсман, обвиненный в 1910 году в похищении денежного пакета на 20 707 рублей. был приговорен окружным судом в арестантские роты на три года.	89:95	0:176
пакет	NOUN	1682-1916	1	пакет-4		-- Вошедшая с кофеем няня поставила на комод поднос и принялась развязывать большой пакет.	84:89	0:90
пакет	NOUN	1682-1916	1	пакет-5		Смердяков бы убил и ограбил, а сына бы обвинили -- ведь Смердякову-убийце уж конечно было бы это выгодно Ну, так вот этому-то сыну Дмитрию Смердяков, замыслив убийство, и сообщает вперед про деньги, про пакет и про знаки -- как это логично, как это ясно!	203:208	0:254
пакет	NOUN	1918-1990	2	пакет-6		-- Ничего не понимаю, -- сказал Андрей Степанович, передавая Анне Григорьевне в прихожей пакет с яблоками.	89:94	0:106
пакет	NOUN	1918-1990	2	пакет-7		Возможно, что в этих слухах было много преувеличенного, но из губревкома поступил секретный пакет: международная обстановка республики осложняется, необходимо проявить героические усилия, чтобы отстоять завоевания народа от контрреволюции и интервентов.	92:97	0:253
пакет	NOUN	1682-1916	1	пакет-8		-- Теперь понятно, почему на эти пакеты с капитана Джонеса не взяли расписки и не дали сопроводительных документов, -- заключил старший офицер.	33:39	0:143
пакет	NOUN	1918-1990	2	пакет-9		В тот же ненастный угрюмый день, в сумерки, во двор крутоярских палат въехал верхом солдат и передал людям большой пакет,-- это был посланный с письмом от самарского губернатора к опекуну Мрацкому.	115:120	0:197
пакет	NOUN	1682-1916	1	пакет-10		--Разрешите вручить вам секретный пакет.	34:39	0:40
пакет	NOUN	1918-1990	2	пакет-11		Друзья совсем было собрались во дворец, когда явился курьер герцога курляндского с пакетом от его светлости.	83:90	0:108
пакет	NOUN	1682-1916	1	пакет-12		В 1921 году -- рукопись была послана (самым простым способом, в заказном пакете, через петроградский почтамт) в Берлин издательству Гржебина.	73:79	0:141
пакет	NOUN	1918-1990	2	пакет-13		Люция, валяясь на Машиной кровати, зевнула и сказала протяжно и поучительно: -- Да не тебя, дура! -- пакет твой продадут.	101:106	0:121
пакет	NOUN	1682-1916	1	пакет-14		В инструкциях для казначейств и государственного банка ревизующим строго вменяется в обязанность просчитывать кредитные билеты и ценные бумаги по листам; члены правления Общества взаимного поземельного кредита свели эту утомительную операцию к просчету пакетов.	253:260	0:261
пакет	NOUN	1682-1916	1	пакет-15		И Сергей Сергеевич, положив руку на пакет, начал говорить: -- Дорогой и достоуважаемый приятель и сосед Сергей Сергеевич! пишу вам со скорым, чтобы поведать важное дело, с коим я на сих днях буду иметь великое удовольствие побывать в Крутоярске.	36:41	0:245
пакет	NOUN	1682-1916	1	пакет-16		В ночь под Новый год неизвестному стороннику Пугачева удалось проникнуть в Зимний дворец и незаметно подбросить пакет с надписью о вручении "в собственные руки" Екатерине II.	112:117	0:174
пакет	NOUN	1918-1990	2	пакет-17		(Кидает пакет с деньгами в Варравина и опускается на руки Тарелкина.)	8:13	0:69
пакет	NOUN	1918-1990	2	пакет-18		В трюмах между торцами пакетов остаются сотни и сотни кубометров пустого пространства.	23:30	0:86
пакет	NOUN	1918-1990	2	пакет-19		На пакете было написано: "Англия, Бультон, Ченсфильд, сэру Фредрику Райленду в собственные руки".	3:9	0:97
пакет	NOUN	1918-1990	2	пакет-20		В это время в землянке, где собрались офицеры сотни, командир, отпустив ординарца, вскрыл пакет и при свете свечного огарка, ознакомившись с содержанием, прочитал: "На рассвете 3 октября немцы, употребив удушливые газы, отравили три батальона 256-го полка и заняли первую линию наших окопов.	90:95	0:291
пакет	NOUN	1918-1990	2	пакет-21		И быстрым движением вынул из полевой сумки пакет, опечатанный сургучными печатями.	43:48	0:82
пакет	NOUN	1682-1916	1	пакет-22		Вопросы были в основном те же, что и у инкоров, и мои ответы тоже были такие же (Афганистан, узники совести, принцип "пакета", ядерные испытания), но хотелось для дебюта в советской прессе быть особенно ясным и логичным.	118:124	0:220
пакет	NOUN	1918-1990	2	пакет-23		В пакете лежали лицом к лицу пастелевый портрет его отца в молодости, с мягкими кудрями, рассыпанными по лбу, с длинными томными глазами и полураскрытым ртом, и почти стертый портрет бледной женщины в белом платье, с белым розаном в руке, -- его матери.	2:8	0:253
пакет	NOUN	1918-1990	2	пакет-24		Воронежскими машиностроителями (Воронежский машиностроительный завод имени В. И. Ленина) освоен автомат марки "А5-ПРВ" для расфасовки и упаковки рафинированного сахара-песка в готовые бумажные пакеты развесом 1 и 0,5 килограмма.	193:199	0:228
пакет	NOUN	1918-1990	2	пакет-25		На пятый день приезда Иван Ильич получил из Петрограда казенный пакет с назначением немедленно явиться на Балтийский завод.	64:69	0:123
пакет	NOUN	1918-1990	2	пакет-26		Вот, например, живет он на лазурных берегах, в благоуханном Грассе, наслаждаясь прелестями юга, а с севера из Риги уже летит к нему заказной пакет с семенами муромских огурцов, и Шмелев безошибочно знает, как нужно удобрить грядку, как притенить от солнца молодые всходы и когда поливать их, чтобы через два месяца можно было бы угостить приятелей свежим, ядреным, хрупким огурчиком.	141:146	0:383
пакет	NOUN	1918-1990	2	пакет-27		Гриша был убит в стычке, когда, возвращаясь в лагерь с "зеленого маяка", где Коля Маленький вручил ему пакет от Кузнецова, он наскочил на многочисленную вражескую засаду.	103:108	0:170
пакет	NOUN	1682-1916	1	пакет-28		Высоко над орудийными башнями, шлюпками, реями все еще висел белый андреевский флаг, косо помеченный голубым крестом, как перечеркнутый пакет.	136:141	0:142
пакет	NOUN	1918-1990	2	пакет-29		Хозяйка распечатала пакет, в нем была фланелевая рубашка, и Дюбуа, который все еще подозревал какую-нибудь любовную шалость, убедился в сердце Глинского.	20:25	0:153
пакет	NOUN	1682-1916	1	пакет-30		Готлиб передал пачку, бывшую с ним, Фомину, а сам взял пакет.	55:60	0:61
пакет	NOUN	1682-1916	1	пакет-31		Несколько крепостных швей, обученных в Варшаве и в Петербурге, беспрестанно занимались шитьем и выкройками; почти всякую неделю приходили ящики и пакеты из Петербурга с чепчиками, шляпками, косынками, выкройками и разными тряпками.	146:152	0:231
пакет	NOUN	1682-1916	1	пакет-32		Грохов сделал над собою усилие, чтобы вспомнить, кто такая это была г-жа Олухова, что за дело у ней, и -- странное явление: один только вчерашний вечер и ночь были закрыты для Григория Мартыныча непроницаемой завесой, но все прошедшее было совершенно ясно в его уме, так что он, встав, сейчас же нашел в шкафу бумаги с заголовком: "Дело г.г.Олуховых" и положил их на стол, отпер потом свою конторку и, вынув из нее толстый пакет с надписью: "Деньги г-жи Олуховой", положил и этот пакет на стол; затем поправил несколько перед зеркалом прическу свою и, пожевав, чтоб не так сильно пахнуть водкой, жженого кофе, нарочно для того в кармане носимого, опустился на свой деревянный стул и, обратясь к письмоводителю, разрешил ему принять приехавшую госпожу.	423:428	0:751
пакет	NOUN	1682-1916	1	пакет-33		Инвалид указал на какого-то огородника, а этот на дьячка Казанской церкви, видевшего когда-то при переборке церковных дел у покойного протоиерея отца Петра сундук с бумагами и в нем некий важный, особо хранившийся пакет.	214:219	0:220
пакет	NOUN	1682-1916	1	пакет-34		Груша подала ему довольно толстый пакет.	34:39	0:40
пакет	NOUN	1682-1916	1	пакет-35		Письма и казенные пакеты разбрасывались по столам небрежно.	18:24	0:59
пакет	NOUN	1682-1916	1	пакет-36		Десятого Декабря послано заказным пакетом (парсел) шесть темпера на Ваше имя для Мясина.	34:41	0:88
пакет	NOUN	1918-1990	2	пакет-37		В сенях квартиры своей встретил он Михеева, сторожа департаментского, с казенным пакетом в руках.	81:88	0:97
пакет	NOUN	1918-1990	2	пакет-38		Директор каждый раз торжественно вскрывал пришедший от попечителя пакет, в котором заключалась тема письменной работы.	66:71	0:118
пакет	NOUN	1918-1990	2	пакет-39		На прощание Эльфрида пригласила Вайса к себе, угостила завтраком и дала на дорогу объемистый пакет с продуктами.	93:98	0:112
пакет	NOUN	1682-1916	1	пакет-40		Друцкая поспешно передала один казенный пакет жандарму, промолвив: -- Передай, любезный, кому тут написано, да скажи дежурному адъютанту, что, мол, княгиня Друцкая кланяется генералу, а сама она нездорова.	40:45	0:205
пакет	NOUN	1918-1990	2	пакет-41		Вынула из ящика пакет, перевязанный узкою голубою ленточкою, и гневно протянула его Танкреду.	16:21	0:93
пакет	NOUN	1682-1916	1	пакет-42		Знаешь ли, когда написана бумага, лежащая в этом пакете А..	49:55	0:59
пакет	NOUN	1682-1916	1	пакет-43		Верлей к своему заявлению приложил в запечатанном пакете и рецепт этого способа.	50:56	0:80
пакет	NOUN	1682-1916	1	пакет-44		И вдруг он поперхнулся: на столе лежал адресованный на его имя пакет.	63:68	0:69
пакет	NOUN	1682-1916	1	пакет-45		С этими словами он расстегнул свой камзол и вынул из внутреннего кармана запечатанный пакет.	86:91	0:92
пакет	NOUN	1682-1916	1	пакет-46		И протянул руку к пакету, но Раечка закричала и хотела пихнуть его пакетом с бутылкой.	18:24	0:86
пакет	NOUN	1918-1990	2	пакет-47		Вот посылка,-- продолжал Мишо, подавая пакет.	39:44	0:45
пакет	NOUN	1682-1916	1	пакет-48		Истопник сам отнес пакет в трибунал.	19:24	0:36
пакет	NOUN	1918-1990	2	пакет-49		"Лукреция Боргиа" на сцене -- и газеты, такие, которые наполняются известиями, например, о том, каким образом однажды поутру банкир Ротшильд, завертывая пакет, засунул куда-то сверток ассигнаций, -- эти явления отвечают друг другу, они не могли случиться в разные века.	153:158	0:269
пакет	NOUN	1682-1916	1	пакет-50		Казенный пакет искал этот город все-таки меньше. неизвестный.	9:14	0:61
пакет	NOUN	1682-1916	1	пакет-51		Ибо будь человек знающий и привычный, вот как я, например, который эти деньги сам видел зараньше и, может, их сам же в тот пакет ввертывал и собственными глазами смотрел, как его запечатывали и надписывали, то такой человек-с, с какой же бы стати, если примерно это он убил, стал бы тогда, после убивства, этот пакет распечатывать, да еще в таких попыхах, зная и без того совсем уж наверно, что деньги эти в том пакете беспременно лежат-с Напротив, будь это похититель, как бы я, например, то он бы просто сунул этот пакет в карман, нисколько не распечатывая, и с ним поскорее утек-с.	123:128	0:584
пакет	NOUN	1682-1916	1	пакет-52		Как сии пакеты, так и другие, адресованные в Академию, должен принимать секретарь Академии и распечатывать в собрании, а вне собрания отнюд не распечатывать.	8:14	0:157
