lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
брезентовый	ADJ	1991-2017	2	брезентовый-0		-- Ну, вот, -- бормотал Федор Федорович, стаскивая со знамени брезентовый чехол, -- и погода нам, можно сказать, значительно благоприятствует.	62:73	0:142
брезентовый	ADJ	1991-2017	2	брезентовый-1		Еще один грузовик исторгал из брезентового брюха новых работниц.	30:42	0:64
брезентовый	ADJ	1991-2017	2	брезентовый-2		А между тем внизу, во дворе, под брезентовым навесом, началось свадебное пиршество.	33:44	0:83
брезентовый	ADJ	1991-2017	2	брезентовый-3		А в обычной жизни -- попроще: под брезентовый тент "Газона" нормально впихивается весь курсантский взвод, все четыре группы, с рюкзаками, оружием, рациями и остальной экипировкой.	34:45	0:179
брезентовый	ADJ	1918-1990	1	брезентовый-4		А на стенке на двух больших гвоздях висели брезентовый плащ, старый полушубок и хлопчатобумажный пиджак.	43:54	0:104
брезентовый	ADJ	1918-1990	1	брезентовый-5		Лязгали и гремели замки бортов, назойливо колотились на ветру распахнутые брезентовые стенки, шестерни передач тянули безнадежно унылую песню.	74:85	0:142
брезентовый	ADJ	1918-1990	1	брезентовый-6		А ниже красовались шекльтоны высокие, как сапоги, брезентовые ботинки с мехом внутри, на войлочной, толщиной с ладонь, ярко-желтой подошве, с двумя рядами дырок по обоим голенищам, размером с пятачок каждая; через эти дырки продевались вместо шнурков толстые белые тесемки, напоминавшие фитили от десятилинейной керосиновой лампы, но гораздо длиннее.	50:61	0:350
брезентовый	ADJ	1918-1990	1	брезентовый-7		Тогда один бандит вынул из кармана брезентовых штанов финский нож и показал нам его тускло отблескивающее лезвие.	35:46	0:113
брезентовый	ADJ	1918-1990	1	брезентовый-8		А там вскоре вернулся и Ираклий Соломонович Горшков с четырьмя студебекерами, груженными чуть ли не под брезентовые потолки.	104:115	0:124
брезентовый	ADJ	1991-2017	2	брезентовый-9		Трофим сначала заметил черный раскоряченный баркас, до бортов утонувший в хвостеце, и через шаг, на берегу у костра, -- людей в брезентовых плащах и рыбацких, мокро лоснящихся робах.	128:139	0:182
брезентовый	ADJ	1918-1990	1	брезентовый-10		А это, -- с вызовом ткнул он пальцем на стоявший в углу брезентовый ящик с ремнями, -- забирайте к чертовой матери!	56:67	0:115
брезентовый	ADJ	1918-1990	1	брезентовый-11		С семилетнего возраста двенадцать годов просидела верхом на жирной от рыбьих потрохов скамье, в брезентовых негнущихся штанах, вспарывая ножом серебряно-скользкие сельдяные брюха.	96:107	0:179
брезентовый	ADJ	1918-1990	1	брезентовый-12		Андрей, приземистый, начавший сутулиться от непривычно легкой конторской работы, стягивал с себя мокрый брезентовый плащ, на щеках у него поблескивала в электрическом свете короткая рыжеватая щетина.	104:115	0:199
брезентовый	ADJ	1918-1990	1	брезентовый-13		Брезентовый мокрый серо-зелёный плащ, даваемый ей в дежурство, коробился на стене, а она сидела в мокрых сапогах, в чёрном обтёрханном гражданском пальтишке и ладила коптилку, вынутую из ручного четырёхугольного фонаря.	0:11	0:219
брезентовый	ADJ	1918-1990	1	брезентовый-14		В нее сели летчики и укатили с петлюровцами в город, оставив около аэроплана стражу и надев на оба пропеллера зеленые брезентовые чехлы.	118:129	0:136
брезентовый	ADJ	1918-1990	1	брезентовый-15		Между трюмами было оставлено четырехугольное пространство, обтянутое брезентовым обвесом на высоте человеческого роста.	69:80	0:119
брезентовый	ADJ	1991-2017	2	брезентовый-16		В облаке снежной пыли, крякнув тормозами, подскочила "Газель" под брезентовым тентом.	66:77	0:85
брезентовый	ADJ	1991-2017	2	брезентовый-17		-- Тим, а ведь это полинялое чудище было когда-то цирком Шапито! -- воскликнула Обби и указала на перекошенный брезентовый шатёр.	111:122	0:129
брезентовый	ADJ	1918-1990	1	брезентовый-18		Ванякин прошел вперед, бросил на стол объемистый брезентовый портфель, содержимое которого было весьма разнообразно: истертые до ветхости инструкции губпродкома, старые газеты, яичная скорлупа, обвалявшийся кусок сала, рассыпанная махорка.	49:60	0:239
брезентовый	ADJ	1918-1990	1	брезентовый-19		Брезентовая лодка нам больше не будет нужна, и мы разрезаем ее на потники, на мешки, на ремни.	0:11	0:94
брезентовый	ADJ	1991-2017	2	брезентовый-20		Вот туда, под брезентовый кров, и взял ее комбат.	14:25	0:49
брезентовый	ADJ	1991-2017	2	брезентовый-21		В переднем отсеке на земле размещались носилки, и на них мычали, булькали, лежали пластом, вяло шевелились раненые, в слизи, сукрови, источая кислый запах страданий, больных выделений, закатив недвижные, полные слез глаза, над которыми, прикрепленные к брезентовой кровле висели капельницы.	253:264	0:290
брезентовый	ADJ	1918-1990	1	брезентовый-22		Выходя на воздух, сверху мы будем надевать еще меховые малицы или кухлянки, а в ветреную погоду -- поверх одежды брезентовый плащ.	113:124	0:130
брезентовый	ADJ	1918-1990	1	брезентовый-23		В воротах мелькнул автомобиль с красным крестом в белом круге на брезентовом верхе.	65:76	0:83
брезентовый	ADJ	1918-1990	1	брезентовый-24		Голова была необыкновенно тяжелая, в висках пульсировала тупая боль, и Артем еще несколько минут провалялся на брезентовом дне палатки, пока не пришел наконец в себя и не сумел подняться на ноги.	111:122	0:195
брезентовый	ADJ	1991-2017	2	брезентовый-25		А чтобы он крепким был, двумя брезентовыми ведрами, которые оказались в машине, и банкой из-под бензина носили из проруби воду и поливали ледяное сооружение.	30:42	0:157
брезентовый	ADJ	1918-1990	1	брезентовый-26		Горелов, как веником, хлестал Митю рыжим брезентовым портфелем.	41:52	0:63
