lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
трубка	NOUN	1682-1916	1	трубка-0		"Стоит ли жизнь таких хлопот" -- думал я и преспокойно закуривал фитилем трубку.	73:79	0:80
трубка	NOUN	1682-1916	1	трубка-1		К верхнему концу стеклянной трубки, около 16миллиметров внутреннего диаметра и около 3/4 метра длины, был припаян баллон вместимостью несколько более полулитра.	28:34	0:160
трубка	NOUN	1918-1990	2	трубка-2		- Нет, меня не будет, -- решительно отрезала Нина и повесила трубку.	61:67	0:68
трубка	NOUN	1918-1990	2	трубка-3		Кислород подается по трубке из нержавеющей стали, опущенной в сироп или настой, на конце которой просверлены два-три десятка небольших отверстий.	21:27	0:145
трубка	NOUN	1682-1916	1	трубка-4		-- Ну что ж, очень жаль, -- сказал работник редакции и повесил трубку.	63:69	0:70
трубка	NOUN	1918-1990	2	трубка-5		Он взял со стены телефонную трубку.	28:34	0:35
трубка	NOUN	1682-1916	1	трубка-6		-- Поверните трубку!	13:19	0:20
трубка	NOUN	1682-1916	1	трубка-7		Расположившись на грязном ситцевом диване, мы стали беседовать за трубкою о Европе и политике; для меня было бы гораздо занимательнее слышать от бея какие-нибудь подробности об управляемой им области, но в этом отношении здешние чиновники до нельзя скрытны с иностранцами, и чтобы хоть мимоходом получить от них какие-либо данные, надобно браться за дело с некоторой ловкостью и осторожностью, не предлагая никогда прямых вопросов, а принимая всегда вид, будто вовсе не интересуешься требуемыми сведениями -- иначе вас безбожно надуют.	66:73	0:535
трубка	NOUN	1682-1916	1	трубка-8		-- Простите, но это я, -- торопливо выпалил он, точно боялся, что она сразу же повесит трубку.	87:93	0:94
трубка	NOUN	1918-1990	2	трубка-9		Перовский в небольшую зрительную трубку посматривал на голубоватые очертания возвышенностей за Колочей.	33:39	0:103
трубка	NOUN	1682-1916	1	трубка-10		-- Твоя сестра умерла час назад! -- резко прокричал зять и положил трубку.	67:73	0:74
трубка	NOUN	1918-1990	2	трубка-11		В последний раз видели его на балконе в белом фланелевом халате, в красных туфлях и с красною шалью на голове; в одной руке у него был кий, а в другой зрительная трубка.	162:168	0:169
трубка	NOUN	1682-1916	1	трубка-12		Батарея фарфоровых трубок, наполненных раскаленными медными опилками, -- вот прибор для удаления кислорода из воздуха.	19:25	0:118
трубка	NOUN	1918-1990	2	трубка-13		Я думал -- меня прогонят, но через день он пришёл в кухню с трубкой толстой бумаги в руках, с карандашом, угольником и линейкой.	60:67	0:128
трубка	NOUN	1682-1916	1	трубка-14		В комнате стоял еще перекосившийся шкаф, доживавший век свой пузатый комод, горка с трубками величиною с Гаркушин курган, а стены были увешаны несколькими старообразными ружьями и другими отставными охотничьими припасами, а также старосветскими картинами в красных узеньких рамочках.	84:92	0:283
трубка	NOUN	1682-1916	1	трубка-15		Через несколько минут приятели стояли у водокачки и, жадно припав губами к черным железным трубкам, из которых лилась холодная чистая вода, пили, что называется, до отвала, до изнеможения.	91:98	0:188
трубка	NOUN	1918-1990	2	трубка-16		В некоторых больницах, правда, медсестры сами делают капельницы из резиновых трубок, но у нас их сейчас нет.	77:83	0:108
трубка	NOUN	1918-1990	2	трубка-17		Выкурив трубку, Маха стал укладываться, я тоже последовал его примеру, но долго не мог уснуть.	8:14	0:94
трубка	NOUN	1918-1990	2	трубка-18		В одном из последних выпусков гильз Военпрома вставленная зачем-то внутри невысокая папковая трубка иногда вылетает при выстреле, что уже влекло совершенную порчу чоковых стволов. 14.	93:99	0:183
трубка	NOUN	1918-1990	2	трубка-19		-- Что -- Он прикрыл трубку и спросил у Анкаголика, который развалился на диване и притих, как перевернутый жук: -- А когда..	21:27	0:125
трубка	NOUN	1918-1990	2	трубка-20		В тех случаях, когда полагалось улыбнуться, "новый" подергивал трубкой, неизменно торчавшей у него изо рта.	63:70	0:107
