lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
инкубатор	NOUN	1918-1990	1	инкубатор-0		-- Ах, инкубатор!	7:16	0:17
инкубатор	NOUN	1918-1990	1	инкубатор-1		Яйца закладывают в инкубатор, вылупившихся птенцов помещают к "электроквочкам".	19:28	0:79
инкубатор	NOUN	1991-2017	2	инкубатор-2		-- В инкубаторе выращивается человечество, находящееся, в результате тотальной психохимической обработки, в состоянии непрерывной борьбы каждого с каждым и всех со всеми.	5:15	0:170
инкубатор	NOUN	1991-2017	2	инкубатор-3		По последнему слову техники оборудованы были фермы с инкубаторами, и начался большой бизнес.	53:65	0:92
инкубатор	NOUN	1918-1990	1	инкубатор-4		-- Это у вас от невнимательности, -- сказал он и вернулся к инкубатору.	60:70	0:71
инкубатор	NOUN	1918-1990	1	инкубатор-5		Мишка раскрыл книгу и стал показывать чертежи; -- Вот смотри, как настоящий инкубатор устроен.	76:85	0:94
инкубатор	NOUN	1991-2017	2	инкубатор-6		14 богатейших бизнесменов и компаний страны создают инкубатор выведения для России лидеров бизнеса высокого полета".	52:61	0:116
инкубатор	NOUN	1991-2017	2	инкубатор-7		Для этого необходимо, во-первых, как минимум в три раза поднять заработную плату в бюджетной сфере, которая за десятилетие реформ превратилась в инкубатор по разведению бедноты: четверть россиян-бюджетников получают не более трех тысяч рублей в месяц.	145:154	0:251
инкубатор	NOUN	1991-2017	2	инкубатор-8		Инкубатор любви!	0:9	0:16
инкубатор	NOUN	1991-2017	2	инкубатор-9		После этого 100 мкл смеси СП + AT + РСВ переносили в лунки микрокультурального планшета с монослоем клеток МА-104, которые помещали на 6-7 сут в СО2-инкубатор.	-1:11	0:159
инкубатор	NOUN	1918-1990	1	инкубатор-10		А когда мы заглянули в инкубатор в следующий раз, то даже ахнули от изумления.	23:32	0:78
инкубатор	NOUN	1918-1990	1	инкубатор-11		Их насилу успевали вынимать из инкубатора.	31:41	0:42
инкубатор	NOUN	1991-2017	2	инкубатор-12		Бедный читатель статьи вынужден по воле автора, свободного от такого рода долженствований, проделать многое -- познакомиться с "оппонентами беллетризированной психологии", якобы "не видящими принципиального отличия между человеком, крысой или электрическим чайником" (с. 72), вернуться в "густопсовые советские времена" (с. 84), чтобы посетить "стерильный академический инкубатор" (с. 72), увидеть "случайное бесформенное множество ученых голов, умствующую толпу" (с. 73), осуществить вместе с историками психологии "погружение еще и не в такое" (с. 75) и продегустировать "диалектику.	370:379	0:585
инкубатор	NOUN	1991-2017	2	инкубатор-13		Вообще же инкубатор московского террариума считается одним из лучших в мире.	10:19	0:76
инкубатор	NOUN	1918-1990	1	инкубатор-14		Бессменный словенский гегемон, который считается инкубатором, выращивающим из худющих и вываливающихся из кроссовок юниоров звезд европейского баскетбола.	49:60	0:154
