lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
машина	NOUN	1682-1916	1	машина-0		(из зала: "Папа с работы на машине привез!").	28:34	0:45
машина	NOUN	1918-1990	2	машина-1		Начиная от трактиров, где прислуга щеголяет в шелковых рубашках, где двадцатитысячные машины услаждают слух меломанов, где можно найти кипу журналов, до тех заведений, по краям Москвы, в которых деревянные лавки заменяют красные диваны, а половые ходят в опорках, -- везде, если найдете какой недостаток, то уж наверно не в чае, и если возмутит что вашу душу или аппетит, то, конечно, не он.	86:92	0:391
машина	NOUN	1682-1916	1	машина-2		-- Есть так держать! -- в тон штурману отвечал летчик, поворачивая нос машины.	71:77	0:78
машина	NOUN	1918-1990	2	машина-3		-- Что это такое, скажите вы мне, -- говорила она с настойчивостью и начала затем читать текст старинного перевода книги Сен-Мартена: "Мне могут сделать возражение, что человек и скоты производят действия внешние, из чего следует, что все сии существа имеют нечто в себе и не суть простые машины, и когда спросят у меня: какая же разница между их началами действий и началом, находящимся в человеке, то ответствую: сию разность легко тот усмотрит, кто обратится к ней внимательно.	289:295	0:480
машина	NOUN	1918-1990	2	машина-4		-- С красноармейцем, который у аварийной машины.	41:47	0:48
машина	NOUN	1918-1990	2	машина-5		У меня было много, я мог купить себе пять машин, так что я знаю, что говорю.	42:47	0:76
машина	NOUN	1918-1990	2	машина-6		.. ничего...-- говорит Шолохов и садится в седло: унизительно верховому ехать в машине, а лошадь вести в поводу.	80:86	0:112
машина	NOUN	1918-1990	2	машина-7		Не допускается установка машины на дно ванны.	25:31	0:45
машина	NOUN	1682-1916	1	машина-8		10-го числа в первой рас пущена машина с посажирами по новоторской железной дороги до Осташевской станции.	32:38	0:106
машина	NOUN	1682-1916	1	машина-9		Просим товарищей обратить серьезное внимание на наших господ мастеров и метранпажей которые всеми силами стараются сорвать нашу забастовку и которые за малочисленностью штрейкбрехеров заменяют их как-то: метранпажами и помощники фактора (которых два) и кладовщик набирают строки, а мастера машинные накладывают на машинах.	290:298	0:322
машина	NOUN	1682-1916	1	машина-10		Машина заработала на полный ход.	0:6	0:32
машина	NOUN	1918-1990	2	машина-11		И говорят и движутся они размеренно и механично, в ритме молотов и работающих машин; и когда кто-нибудь вдруг выступает отдельно, то кажется, что это откололась частица черной машины, странного сооружения, похожего на неведомое чудовище.	78:83	0:237
машина	NOUN	1682-1916	1	машина-12		Машина опоздала почти на полчаса.	0:6	0:33
машина	NOUN	1918-1990	2	машина-13		Но прииск остался в том самом виде, как был, -- как будто хозяева вчера только уехали и в своем поспешном отъезде оставили на столах скатерти, термометр на веранде, кучи графита на горах и незапертую шахту с машинами.	208:216	0:217
машина	NOUN	1682-1916	1	машина-14		Машины собираются, обслуживаются и даже чинятся собственными усилиями общины, при некоторой временной помощи английских техников.	0:6	0:129
машина	NOUN	1682-1916	1	машина-15		И народ, и разночинцы, и купцы, и чиновники, и интеллигенты -- все захвачены огромной машиной государственной и социальной жизни.	86:93	0:129
машина	NOUN	1682-1916	1	машина-16		Armes Kind! Und du auch hier!.. Noch ein neuer Tod! -- с крушащею болью в сердце прошептал старик, не сводя изумленных глаз со смущенно поникшей Машиной головки.	145:152	0:161
машина	NOUN	1682-1916	1	машина-17		Фомушка измышляет Как ни счастливо разыгралось для Фомушки следствие по поводу Машиной жалобы, он все-таки пришел к заключению, что не мешало бы снова поднять на недосягаемую высоту авторитет своей святости в глазах хозяев.	79:86	0:223
машина	NOUN	1682-1916	1	машина-18		В дополнение к неоднократным моим просьбам еще раз прошу срочной высылки для штарма шести и для каждого из трех корпусов не менее двух мощных легковых машин с полным комплектом запасных частей, без чего управлять операциями не могу.	151:156	0:232
машина	NOUN	1682-1916	1	машина-19		Машина завела грустное-грустное, и Антон, покачивая головой и крепко прижав руку к щеке, запел что-то несуразное, без слов и без мотива.	0:6	0:136
машина	NOUN	1682-1916	1	машина-20		В отверстие, сообразное величине кружков, сии последние вкладываются, при движении машины сами собой приходят в другую форму, по которой продергиваются, оборачиваясь и касаясь до клейма, у одной стороны формы имеющегося, и тоже сами собой падают в устроенное место.	83:89	0:265
машина	NOUN	1682-1916	1	машина-21		74. Семьдесят четвертая машина есть ночник, которым бы ночью улицы осветить, изобретена от господина Фавра, 1703 года.	24:30	0:118
машина	NOUN	1682-1916	1	машина-22		Вода проведена машиною к стене, к которой прикреплена ванна.	15:22	0:60
машина	NOUN	1682-1916	1	машина-23		Так например, в начале этой недели на маленькой 12-сильной машине завода Н.А.Г. в 3 дня покупатель совершил большую поездку из Москвы в Екатеринослав.	59:65	0:150
машина	NOUN	1682-1916	1	машина-24		Водитель вылез из машины, пошел к багажнику.	18:24	0:44
машина	NOUN	1918-1990	2	машина-25		А тут еще возня с приданым, которому Песоцкие придавали не малое значение; от звяканья ножниц, стука швейных машин, угара утюгов и от капризов модистки, нервной, обидчивой дамы, у всех в доме кружились головы.	109:114	0:209
машина	NOUN	1918-1990	2	машина-26		Вслед за машинами посредине мостовой идут цепи вьетнамских солдат.	9:17	0:66
машина	NOUN	1918-1990	2	машина-27		Достигнуть этого на летательной машине почти невозможно.	32:38	0:56
машина	NOUN	1682-1916	1	машина-28		Вы должны были рубить зло в корне, а не в ветвях, и дать такой толчок всеобщему движенью всего, чтобы после вас пошла сама собой работать машина, так чтобы незачем было над ней стоять и надсмотрщику, и сим только воздвигнули бы памятник вечный вашего генерал-губернаторства.	138:144	0:274
машина	NOUN	1682-1916	1	машина-29		-- Пишущая машина!	11:17	0:18
машина	NOUN	1682-1916	1	машина-30		Выделка из торфа бумаги по новому способу не требует особых машин.	60:65	0:66
