lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
отдел	NOUN	1918-1990	2	отдел-0		- С тобой говорит начальник отдела товарищ Прокопенко, -- пояснил сидевший за столом.	28:34	0:85
отдел	NOUN	1918-1990	2	отдел-1		В 1954 году в министерстве информации был создан отдел кино, и я перешел туда.	49:54	0:78
отдел	NOUN	1682-1916	1	отдел-2		-- Да, -- сказал он, -- и об этом у нас уже говорили и решили устроить два отдела: отдел пропаганды и отдел чисто боевой деятельности.	75:81	0:134
отдел	NOUN	1682-1916	1	отдел-3		-- Что вы смотрите, -- сказала она, подойдя к офицеру, -- найдите мне, какое вам слово больше нравится Подпоручик начал перелистывать журнал и, наконец, в отделе Словесности, видно, отыскал желаемое слово и показал его Мари, которая, посмотрев, очень сконфузилась, но, впрочем, взяла у офицера книгу и сама показала ему на какое-то слово и, отойдя от него, снова села на прежнее место.	155:161	0:385
отдел	NOUN	1682-1916	1	отдел-4		2) Конференция одобряет намеченный план дальнейших работ Правления Петроградского Отдела В.С.М.Р. и 3) поручает новому составу Правления приступить к скорейшему проведению своего плана в жизнь, обратив самое серьезное внимание на все Отделы вообще, и ни отделы Культурно-Просветительный и Продовольственный в частности".	82:88	0:320
отдел	NOUN	1918-1990	2	отдел-5		Первое сентября И в августе отдел внутренней политики остался незамещенным.	28:33	0:75
отдел	NOUN	1682-1916	1	отдел-6		Отдел имеет целью распространять всеми доступными способами правильный взгляд на вред алкоголизма и посильную борьбу с ним среди женщин и детей.	0:5	0:144
отдел	NOUN	1682-1916	1	отдел-7		Лирика (мелическая) имела многих представителей -- Асклепиада, Гликона и других, но мы судим о ней по их гениальному подражателю Катуллу (ниже, отдел Б, § 14).	144:149	0:159
отдел	NOUN	1918-1990	2	отдел-8		А по ответу видно, что это юноша, который только и может сообразить, что это по такому-то ведомству, такому-то отделу, значит -- послать туда!	111:117	0:142
отдел	NOUN	1918-1990	2	отдел-9		И с 18-го числа туда уже начали переезжать некоторые отделы.	53:59	0:60
отдел	NOUN	1682-1916	1	отдел-10		Александра Александровича я видела редко, раз он зашел к нам в библиотеку, раза два мельком мы встретились в отделе.	109:115	0:116
отдел	NOUN	1918-1990	2	отдел-11		-- На это я, господин Крафт, имею, кажется, право; листы до конца отдела я вам доставлю, а там не угодно ли вам поручить работу кому-нибудь другому.	66:72	0:148
отдел	NOUN	1682-1916	1	отдел-12		Белинский, как известно, делил поэзию на два "отдела" -- на идеальную и реальную: "поэт или пересоздает жизнь по собственному идеалу, или воспроизводит ее во всей ее наготе и истине" ("О русской повести и повестях Гоголя").	46:52	0:223
отдел	NOUN	1918-1990	2	отдел-13		Кто не имеет их Если бы г. Луандр присоединил к этому отделу и некоторые биографии, вроде "Жизни Елисаветы Венгерской" г. Монталанбера, то оказалось бы, что даже скандальёзность некоторых современных романсов не была чужда ему, хотя и проявилась совершенно в другой форме.	54:60	0:272
отдел	NOUN	1918-1990	2	отдел-14		Были, наконец, случаи, когда сами школьные работники за счет своих грошевых ресурсов организовывали курсы и конференции, когда это оказывалось не по силам отделам народного образования.	155:162	0:185
отдел	NOUN	1918-1990	2	отдел-15		Бакай уже хотел пойти посоветоваться с кем-нибудь, но тут на него, словно смерч, налетел комиссар оперативного отдела Иван Папанин.	111:117	0:131
