WORD,GROUND_TRUTH
классный_ADJ,1.0
пакет_NOUN,1.0
стиль_NOUN,1.0
собака_NOUN,1.0
мыло_NOUN,1.0
модель_NOUN,1.0
перестройка_NOUN,1.0
рынок_NOUN,1.0
рыночный_ADJ,1.0
беспредел_NOUN,1.0
провальный_ADJ,1.0
раскрутка_NOUN,1.0
ботаник_NOUN,1.0
голубой_ADJ,1.0
донорство_NOUN,1.0
подстава_NOUN,1.0
исполнитель_NOUN,1.0
четырехлетка_NOUN,1.0
стачка_NOUN,1.0
корпус_NOUN,1.0
прислуга_NOUN,1.0
благотворительность_NOUN,1.0
приставка_NOUN,1.0
блочный_ADJ,1.0
боевик_NOUN,1.0
валюта_NOUN,1.0
валютный_ADJ,1.0
вампир_NOUN,1.0
взлом_NOUN,1.0
вирус_NOUN,1.0
высоколобый_ADJ,1.0
вышка_NOUN,1.0
гильдия_NOUN,1.0
гимназия_NOUN,1.0
глянец_NOUN,1.0
двушка_NOUN,1.0
дивизион_NOUN,1.0
драйвер_NOUN,1.0
завязка_NOUN,1.0
загрузка_NOUN,1.0
инкубатор_NOUN,1.0
карта_NOUN,1.0
бескомпромиссность_NOUN,0.0
выплеск_NOUN,0.0
сомнение_NOUN,0.0
флакон_NOUN,0.0
одежда_NOUN,0.0
продукция_NOUN,0.0
ателье_NOUN,0.0
орбита_NOUN,0.0
рождество_NOUN,0.0
партиец_NOUN,0.0
игра_NOUN,0.0
стаканчик_NOUN,0.0
знамя_NOUN,0.0
брезентовый_ADJ,0.0
однодневка_NOUN,0.0
осуществимый_ADJ,0.0
гололед_NOUN,0.0
мгновение_NOUN,0.0
удвоение_NOUN,0.0
лилипут_NOUN,0.0
ломберный_ADJ,0.0
эрмитажный_ADJ,0.0
предощущение_NOUN,0.0
свинцовый_ADJ,0.0
погрешность_NOUN,0.0
гермафродит_NOUN,0.0
приношение_NOUN,0.0
