lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
высоколобый	ADJ	1918-1990	1	высоколобый-0		-- Высоколобые из Пентагона точно рассчитали, куда пойдет ураган после запуска ракет.	3:14	0:85
высоколобый	ADJ	1918-1990	1	высоколобый-1		Серьезный, сдержанный, высоколобый, узколицый, седеющий блондин стоит перед Ланцелотом.)	23:34	0:88
высоколобый	ADJ	1991-2017	2	высоколобый-2		-- Все та же, все та же высоколобая, интеллигентская неполноценность.	24:35	0:69
высоколобый	ADJ	1991-2017	2	высоколобый-3		а тут американо-русско-французская шайка высоколобых на "Токомаке" какого-то поколения взяла да и открыла по случайке эффект, из которого буквально сам собой через пару лет вылупился мезонный двигатель, легко дававший ноль девять световой -- и человечество не устояло перед звездным соблазном.	41:52	0:293
высоколобый	ADJ	1991-2017	2	высоколобый-4		Высоколобые ухари не просыхали, море казалось по колено, безобразничали по нарастающей, беря самих себя и друг друга на слабо.	0:11	0:126
высоколобый	ADJ	1991-2017	2	высоколобый-5		Теперь примерьте эти состояния на себя и решите, нужно ли вам смотреть произведение Энга Ли, отмеченное "Оскаром" как лучший неанглоязычный фильм 2000 г. "Дауны" в "хаосе" ВЫСОКОЛОБЫЕ кинокритики язвительными рецензиями почти похоронили еще не вышедший в прокат фильм "Даун Хаус".	172:183	0:280
высоколобый	ADJ	1918-1990	1	высоколобый-6		Высоколобый Анатолий и тут не хотел упустить -- к выносу тела подоспев, он показал бумагу с печатью.	0:11	0:100
высоколобый	ADJ	1991-2017	2	высоколобый-7		В своей жизни я встречал ровно столько же высоколобых болванов, сколько и умников, в числе которых, надо сказать, довольно редко оказывались краснобаи.	42:53	0:151
высоколобый	ADJ	1991-2017	2	высоколобый-8		Высоколобый Анатолий, льстец, меж тем нечаянно проговаривается, мол, как сторож и как человек я уже давно внушаю ему (и людям) доверие.	0:11	0:135
высоколобый	ADJ	1991-2017	2	высоколобый-9		Каковы шансы, что в конечном счете и я стану получать от этих скучных концертов то "неземное удовольствие", о котором говорят эти высоколобые критики Ясно лишь то, что если это и произойдет, то произойдет очень нескоро!	130:141	0:219
высоколобый	ADJ	1918-1990	1	высоколобый-10		Высоколобый взялся за свой белый картуз.	0:11	0:40
высоколобый	ADJ	1918-1990	1	высоколобый-11		Только один из них, высоколобый и мрачный, безапелляционно сказал, что мои рассуждения -- чуковщина.	20:31	0:100
высоколобый	ADJ	1918-1990	1	высоколобый-12		Высоколобый именно благодаря этой группе чувствовал себя совершенно свободным от обязанности самостоятельно мыслить.	0:11	0:116
высоколобый	ADJ	1918-1990	1	высоколобый-13		Это тем было хорошо: им длинноволосые и высоколобые со всех сторон объясняли насчет Джонсона -- убийцы детей.	40:51	0:109
высоколобый	ADJ	1918-1990	1	высоколобый-14		А также порочная практика надежды на "автоматическое" решение проблем через бездумное следование каждой очередной "спасительной" теории, которую измыслят "высоколобые".	155:166	0:168
высоколобый	ADJ	1991-2017	2	высоколобый-15		Но высоколобый отстранил мою книгу.	3:14	0:35
высоколобый	ADJ	1918-1990	1	высоколобый-16		А чем возмущаться Да, невмешательство -- но просвещенное же, высоколобое, рассеянное, не успевающее просто переключиться с горящего "Очакова" на пепел от каких-то полуграмотных сочинений.	61:72	0:187
высоколобый	ADJ	1918-1990	1	высоколобый-17		Лицо прямо шаляпинское -- открытое, высоколобое, с улыбкой добродушной и чуть надменной, тогда умели так улыбаться.	36:47	0:115
высоколобый	ADJ	1918-1990	1	высоколобый-18		Ах, какие дивные "веды", какие поистине редкостные, мозговитые, самовитые, высоколобые доки, подлинные знатоки своего нелегкого дела, были когда-то встарь, во времена былинные, лирические, эпические, героические, в самиздате!	75:86	0:225
высоколобый	ADJ	1991-2017	2	высоколобый-19		Вторая, с волооким высоколобым красавцем, безвольно свесившим прекрасную кисть руки с плетеного кресла, была на месте.	19:30	0:118
высоколобый	ADJ	1918-1990	1	высоколобый-20		Балерины императорских театров, певицы -- профессионалы, высоколобые обеих столиц хотели провести вечер как в рабочем клубе, причем эта эстетическая лояльность была вполне искренней.	57:68	0:182
высоколобый	ADJ	1918-1990	1	высоколобый-21		Высокий, чернявый, кудрявый, почти до плечей разметавшийся гривою, высоколобый, щеками румяными так контрастировал с черной бородкой и синим, доверчивым глазом; не то сокрушающий дерзостным словом престолы царей Навуходоносор, не то -- древний черниговский князь, гарцевавший не на табурете, -- в седле, чтобы биться с татарами.	67:78	0:328
высоколобый	ADJ	1918-1990	1	высоколобый-22		Боятся, боятся, высоколобые.	16:27	0:28
высоколобый	ADJ	1918-1990	1	высоколобый-23		Высоколобый получил образование в Харькове, где в то время подвизалась группа педологов, горе-теоретиков детского чтения, утверждавших, что пролетарским ребятам не надобны ни сказки, ни игрушки, ни песни.	0:11	0:204
высоколобый	ADJ	1918-1990	1	высоколобый-24		Был он среднего роста, сухощавый, нервно-подвижный, с большой высоколобой головой, длинными артистичными пальцами, которые почему-то так и хотелось назвать перстами, и цепким взглядом влажных черных глаз.	62:73	0:204
