lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
ломберный	ADJ	1991-2017	2	ломберный-0		"Евгений Онегин" в Новой Опере одет в сине-зеленое, "ломберное" сукно.	53:62	0:70
ломберный	ADJ	1991-2017	2	ломберный-1		И только его ради и садятся они к ломберным столам с горящими глазами и великим нетерпением.	34:43	0:92
ломберный	ADJ	1991-2017	2	ломберный-2		(Зажигает свечи, садится за ломберный стол.	28:37	0:43
ломберный	ADJ	1991-2017	2	ломберный-3		Внутри колонн размещены ломберные столики, зеркала и зеленые лампы игорного дома.	24:33	0:81
ломберный	ADJ	1918-1990	1	ломберный-4		-- Господа, -- крикнул он Зандеру и Нелли, которые в углу раскрывали ломберный столик и уже достали мелки и карты, -- вы что же там, идите же смотреть, тут ведь человека ноздревой невинности лишают.	69:78	0:198
ломберный	ADJ	1918-1990	1	ломберный-5		Ломберный стол посередине, где еврейская горничная, рыжая Маня, вечером дает нам простоквашу и вареники, а днем я разливаю чай из толстого чайника и умоляю гостей не облокачиваться на стол.	0:9	0:189
ломберный	ADJ	1991-2017	2	ломберный-6		-- Он увидел Доктора, проходящего танцевальным залом, вместе с Блейком, по направлению к ломберной комнате.	89:98	0:107
ломберный	ADJ	1991-2017	2	ломберный-7		Никита Панин, Алексей Орлов и Кирилла Разумовский за ломберным столиком играли в карты.	53:62	0:87
ломберный	ADJ	1991-2017	2	ломберный-8		-- Подошел один из смотрителей ломберного зала.	31:41	0:47
ломберный	ADJ	1991-2017	2	ломберный-9		Он очутился в ломберном зале.	14:23	0:29
ломберный	ADJ	1918-1990	1	ломберный-10		Ломберный столик, легкие занавески.	0:9	0:35
ломберный	ADJ	1991-2017	2	ломберный-11		Над ломберным столиком с зеленым сукном и гнутыми ножками открытки веером -- еловая веточка с оплывшей свечкой, круглоглазый мопс, опрокинувший чернильницу, гном в красном колпаке и ангел, плывущий по небу.	4:13	0:206
ломберный	ADJ	1918-1990	1	ломберный-12		А он был прост, князь, за письменный стол редко садился, чаще -- за ломберный, и дело это просто.	68:77	0:97
ломберный	ADJ	1991-2017	2	ломберный-13		Сидит он, брат ты мой, за ломберным столом, куртка на нем кожаная, новенькая, золотые зубы вставил.	26:35	0:99
ломберный	ADJ	1991-2017	2	ломберный-14		Белосельцев понимал, что это фарс, талантливая изуверская игра великолепного актера, который играл постоянно, -- на бирже, на взвинченных нервах истерической публики, на противоречиях финансовых конкурентов, в казино, за ломберным столом, на слабостях немощного Президента, на скрипке, на саксофоне.	221:230	0:299
ломберный	ADJ	1991-2017	2	ломберный-15		А ломберные столики, веера, чубуки и карточные коробочки из фондов музея -- все, естественно, подлинные -- показались отыгранным театральным реквизитом.	2:11	0:152
