lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
эрмитажный	ADJ	1918-1990	1	эрмитажный-0		-- От лица эрмитажных работников позвольте вас, Константин Петрович, приветствовать и благодарить за открытую область искусства и за пожертвованные в наше хранилище экспонаты.	11:21	0:175
эрмитажный	ADJ	1918-1990	1	эрмитажный-1		Не нашим ли эрмитажным все кончится Пожалуй, не стоит.	12:22	0:54
эрмитажный	ADJ	1991-2017	2	эрмитажный-2		-- Сей же час послать в Эрмитажный феатр курьера.	24:34	0:49
эрмитажный	ADJ	1991-2017	2	эрмитажный-3		А поскольку я ждал вызова, то я и не поехал в эвакуацию, в том числе и со вторым эрмитажным эшелоном, который вышел, помнится, после 20 августа, но еще успел проскочить.	81:91	0:169
эрмитажный	ADJ	1991-2017	2	эрмитажный-4		-- Совершенно верно, -- кивнул Старыгин, Композиция фрески, в особенности поворот головы младенца, очень напоминает эрмитажную картину.	116:126	0:135
эрмитажный	ADJ	1991-2017	2	эрмитажный-5		Как-то я говорил у Малого подъезда Эрмитажа с нашей эрмитажной античницей, Александрой Ильиничной Вощининой, и подошла ее мать.	52:62	0:127
эрмитажный	ADJ	1991-2017	2	эрмитажный-6		-- Что такое Мадонна самого Леонардо, эта ваша эрмитажная Мадонна -- продолжал Антонио, все больше распаляясь.	47:57	0:110
эрмитажный	ADJ	1991-2017	2	эрмитажный-7		С глубоким уважением И. Сталин Таким образом вопрос о продаже эрмитажных ценностей за границу был закрыт совсем.	62:72	0:112
эрмитажный	ADJ	1918-1990	1	эрмитажный-8		27 ноября 1786 года опера "Новгородский богатырь Боеслаевич" придворной труппой на сцене Эрмитажного театра была-таки представлена!	89:100	0:131
эрмитажный	ADJ	1991-2017	2	эрмитажный-9		Как ни смешно, в эрмитажном буфете.	17:27	0:35
эрмитажный	ADJ	1918-1990	1	эрмитажный-10		Эрмитажная выставка должна привлечь к себе активное внимание художников, помочь им осветить и эту прекрасную область художественного наследия прошлого.	0:10	0:151
эрмитажный	ADJ	1918-1990	1	эрмитажный-11		Вся тайна открылась для меня потом: участвующие в эрмитажных спектаклях получали подарки -- булавки, запонки, брошки с буквой Э. Все добивались этих подарков, хотя эти вещи стоили 30-80 рублей.	50:60	0:193
эрмитажный	ADJ	1918-1990	1	эрмитажный-12		Эрмитажные воробьи щебетали о барбизонском солнце, о пленэрной живописи, о колорите, подобном шпинату с гренками, -- одним словом, обо всем, чего не хватает мрачно-фламандскому Эрмитажу.	0:10	0:186
эрмитажный	ADJ	1918-1990	1	эрмитажный-13		Да, и уйти от грязной дистрофии гражданской работы, в том числе -- эрмитажной.	67:77	0:78
эрмитажный	ADJ	1991-2017	2	эрмитажный-14		Эрмитажные дети были вывезены тоже в Ярославскую область, возглавляемые замечательным человеком и педагогом Любовью Владимировной Антоновой; добирались они и на поездах, и на подводах, и, кажется, на баржах, и по дороге понесли потери от скоротечной кори, вспыхнувшей в эшелоне.	0:10	0:278
эрмитажный	ADJ	1991-2017	2	эрмитажный-15		И близнецы не отрываясь смотрели, как мама встает, медленно расстегивает халат -- а под халатом она оказалась как Венера из эрмитажного альбома.	124:135	0:144
эрмитажный	ADJ	1918-1990	1	эрмитажный-16		А в эрмитажном парке пахнет крепким белым грибом.	4:14	0:49
эрмитажный	ADJ	1918-1990	1	эрмитажный-17		Бала даже для эрмитажного спектакля не дано было времени срепетировать как надо.	14:25	0:80
эрмитажный	ADJ	1991-2017	2	эрмитажный-18		А немцы, наоборот, давно включили эрмитажную часть коллекции Герстенберга в свой официальный список претензий.	34:44	0:110
