word	COMPARE	EARLIER	LATER	delta_later	frequency_sov/postsov
ателье	3.29	3.3	3.19	-0.11	288/326
блочный	2.15	2.57	2.63	0.06	67/157
боевик	2.25	3.28	2.82	-0.46	231/2918
ботаник	2.52	3.2	2.16	-1.04	410/219
взлом	3.26	3.4	3.03	-0.37	99/99
выплеск	3.16	2.76	3.68	0.92	15/40
высоколобый	2.19	2.14	2.62	0.48	48/103
вышка	2.99	2.48	2.5	0.02	1031/729
гильдия	3.17	3.36	3.27	-0.09	124/225
глянец	2.12	2.86	2.21	-0.65	169/153
голубой	3.25	3.11	3.08	-0.03	9546/4910
двушка	1.38	2.65	2.56	-0.09	68/94
дивизион	3.58	3.79	3.01	-0.78	1399/771
донорство	2.72	3.62	3.34	-0.28	36/30
драйвер	1.29	3.0	2.8	-0.2	23/90
завязка	1.86	2.07	1.77	-0.3	310/350
загрузка	2.09	2.54	2.19	-0.35	185/659
знамя	3.11	2.97	2.66	-0.31	3617/1420
игра	2.28	2.39	2.11	-0.28	11824/14900
инкубатор	2.19	3.54	2.49	-1.05	203/81
исполнитель	2.6	2.74	2.54	-0.2	1854/3376
карта	1.85	2.28	1.58	-0.7	9001/8502
классный	1.43	2.44	2.17	-0.27	1151/1353
корпус	1.77	2.26	1.95	-0.31	9699/5122
лилипут	3.2	2.98	3.13	0.15	160/161
ломберный	3.72	3.94	3.55	-0.39	102/50
модель	2.49	2.21	1.97	-0.24	3357/13387
мыло	3.21	3.43	3.07	-0.36	1109/817
однодневка	2.56	2.76	3.22	0.46	32/80
орбита	2.53	2.26	3.07	0.81	1141/1303
пакет	1.65	2.78	2.23	-0.55	2412/5961
перестройка	2.14	2.43	3.1	0.67	1300/2734
погрешность	3.0	2.84	3.44	0.6	179/412
подстава	1.0	3.3	2.8	-0.5	11/97
приношение	2.91	3.22	2.84	-0.38	164/73
прислуга	3.61	3.44	3.67	0.23	1560/465
приставка	2.13	1.97	2.45	0.48	171/311
провальный	1.96	1.87	3.65	1.78	33/155
продукция	3.5	3.43	3.36	-0.07	2187/11375
раскрутка	2.13	2.83	3.3	0.47	20/253
рождество	3.15	3.6	2.69	-0.91	384/119
рынок	1.82	2.59	3.1	0.51	3188/27718
рыночный	2.36	2.33	3.37	1.04	283/4317
свинцовый	1.99	2.17	1.93	-0.24	1068/475
собака	3.55	3.45	3.64	0.19	15309/9533
стаканчик	3.33	3.41	3.61	0.2	833/619
стачка	2.84	3.45	2.97	-0.48	436/77
стиль	2.74	2.83	2.43	-0.4	5695/7550
удвоение	2.98	2.87	3.7	0.83	86/368
флакон	3.48	3.72	3.11	-0.61	404/553
четырехлетка	1.07	3.07	2.8	-0.27	48/11
