lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
свинцовый	ADJ	1991-2017	2	свинцовый-0		(Кличка -- почему Потому что эта девушка была сирота и очень некрасива, и она специально пошла на Завод Свинцовых Аккумуляторов, на вредное производство, чтобы этим сократить свою постылую одинокую жизнь.	104:113	0:204
свинцовый	ADJ	1991-2017	2	свинцовый-1		Всего на несколько мгновений так далеко их мысли оказались от этого вот наэлектризованного поля, всего на несколько мгновений перестал по жилам течь высокого значения ток и налились свинцовой тяжестью их члены.	182:191	0:210
свинцовый	ADJ	1918-1990	1	свинцовый-2		-- Откуда же тогда взялся свинцовый шарик за подкладкой в пиджаке погибшей -- Наверное, оттуда же, откуда и лже-Хабибов с фиктивным "жучком"! -- пояснил адвокат.	26:35	0:161
свинцовый	ADJ	1991-2017	2	свинцовый-3		Из окон дома было видно, как на бурых плантажах мотались голые розы, как над изрытым свинцовым морем летят рваные тучи.	85:94	0:119
свинцовый	ADJ	1991-2017	2	свинцовый-4		.. проблеск сухих зубов в щели свинцовых губ... плоско и тупо сталкиваются спины и груди, морожено-звонко постукивают друг о друга мертвые головы.	31:40	0:146
свинцовый	ADJ	1991-2017	2	свинцовый-5		А замечательную мину "Тама" в восемь килотонн не желаете попробовать Теперь я более чем уверен, что она есть -- не в этом, так в другом автомобиле, в массивном свинцовом контейнере, исключающем обнаружение приборами.	160:169	0:216
свинцовый	ADJ	1991-2017	2	свинцовый-6		Свинцовый дирижабль так понравился Пейджу, что он немедленно сменил имя группы на "Лед Зеппелин".	0:9	0:97
свинцовый	ADJ	1991-2017	2	свинцовый-7		Несмотря на крепкие зубы, парень подавился свинцовым орешком -- пуля пробила ему небо и утонула в черепной полости.	43:52	0:115
свинцовый	ADJ	1991-2017	2	свинцовый-8		Американская компания Radiation Shield Technologies разработала материал под названием Demron, такой же надежный, как и свинцовая пластина, но гораздо легче.	120:129	0:157
свинцовый	ADJ	1991-2017	2	свинцовый-9		Правда, и в первом я заменил экспансивное, но крикливое "черти визжат свинцовые" на более прозаическое, но, как мне кажется, солидное "пули визжат...", в чем и прошу твоего авторского извинения".	70:79	0:195
свинцовый	ADJ	1918-1990	1	свинцовый-10		Африканцы считают свинцовое дерево священным, прародителем человека и животных: благодаря тяжелой, плотной древесине отмершее дерево долго стоит в неизменном состоянии.	18:27	0:168
свинцовый	ADJ	1991-2017	2	свинцовый-11		Степа постоял на краю оврага, поглядел на низкое, свинцовое небо -- от него веяло холодом, и казалось, что вот-вот посыплется снег.	50:59	0:131
свинцовый	ADJ	1918-1990	1	свинцовый-12		Бросил взгляд на того, что лежал на земле, замахнулся на Тиму палкой со свинцовым наконечником: -- Сейчас тебя, сука, сделаю! -- и будто переломился пополам, рухнул без звука на землю.	72:81	0:184
свинцовый	ADJ	1991-2017	2	свинцовый-13		Свинцовый шток длиной 170 см и весом около 200 кг вместе с обломком деревянного веретена обнаружил несколько лет назад экипаж советского земснаряда "Кубань-3" во время углубления канала в Керченскую бухту.	0:9	0:205
свинцовый	ADJ	1918-1990	1	свинцовый-14		В каждом из них свинцовую часть, экранировавшую в основном гамма-излучения, можно было автоматически убирать и устанавливать вновь.	16:25	0:131
свинцовый	ADJ	1991-2017	2	свинцовый-15		Положительная состоит из свинцовой пластины, покрытой с обеих сторон мелкими желобками, в которые вмазано тесто, состоящее из сурика и серной кислоты.	25:34	0:150
свинцовый	ADJ	1918-1990	1	свинцовый-16		В окно видны: разстилающееся внизу болотце, подернутое туманными испарениями, за болотцем -- свинцовая лента канала, дальше -- лес, лес и лес.	93:102	0:142
свинцовый	ADJ	1918-1990	1	свинцовый-17		На удлиненном конце рычага на шпильке, привинченной к рычагу гайкой, укреплен свинцовый груз.	78:87	0:93
свинцовый	ADJ	1918-1990	1	свинцовый-18		Внезапно, будто волшебным мановением, море утратило свой слепящий металлический блеск, а небо -- недобрый оттенок свинцового марева.	114:124	0:132
свинцовый	ADJ	1918-1990	1	свинцовый-19		Во-первых, он отяжелел от хмеля, а во-вторых, его тянул вниз тяжелый свинцовый груз, который находился в пятках.	69:78	0:112
свинцовый	ADJ	1991-2017	2	свинцовый-20		Вскоре после этого, опираясь на учение о преломлении, я постиг суть дела и сначала изготовил свинцовую трубу, на концах которой поместил два оптических стекла, оба плоских с одной стороны; с другой стороны одно стекло выпуклосферическое, другое вогнутое.	93:102	0:254
свинцовый	ADJ	1991-2017	2	свинцовый-21		Вот там, на быстром свинцовом реакторе, например, одно из основных препятствий -- это то, что свинец окисляется с материалом любым.	20:29	0:131
свинцовый	ADJ	1918-1990	1	свинцовый-22		Вспомним его рассуждение о любви -- "свинцовое перо, ясный дым, холодный огонь" и пр. -- или вопрос его о "даме, обогащающей руку рыцаря".	37:46	0:138
свинцовый	ADJ	1918-1990	1	свинцовый-23		Мы уйдем от тебя, свинцовый дождь, которым она без суда и следствия собирается хлестать ни в чем не повинную землю.	18:27	0:115
свинцовый	ADJ	1991-2017	2	свинцовый-24		Выглядит этот свинцовый сурик очень красиво -- ярко-оранжевый порошок, но жутко пачкается.	14:23	0:90
свинцовый	ADJ	1991-2017	2	свинцовый-25		Все было серым, свинцовым, глухим, и тучи стояли так низко, что брали на себя снежный отсвет мысов, и он, отражаясь в воде и небе, восставал двумя молочными лучами, напоминая не то своих зимних радужных собратьев, не то чьи-то колоссальные ноги.	16:25	0:245
свинцовый	ADJ	1918-1990	1	свинцовый-26		Гарри вспомнил камуфляжного хряка и его свинцовый затылок.	40:49	0:58
свинцовый	ADJ	1991-2017	2	свинцовый-27		Сравнив его с притяжением его Землей (т. е. весом шарика), вычислили, во сколько раз масса Земли превосходит массу большого свинцового шара.	124:134	0:140
