lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
провальный	ADJ	1991-2017	2	провальный-0		"Две средних лет литературные дамы, с грязными шеями и большими бантами в волосах, жевали бутерброды у буфетного прилавка", пожевали-пожевали, и, подобравшись под корсетами, отправились отлавливать большого поэта; а лет этак через шестьдесят, глядишь, эстафетная палочка принята и сохранена: "В просторном балахоне бедуинского толка, артистически рассеянная, прикуривающая одну сигарету от другой, Арина сиживала, случалось, в заднем ряду поэтической студии и нагоняла страх на желторотых лириков игрою бровей, выпячиванием нижней губы, красноречиво-отсутствующим видом, с которым она в случае особенно провальных выступлений принималась пускать дым кольцами".	603:613	0:660
провальный	ADJ	1991-2017	2	провальный-1		Второй квартал по динамике производства мог бы оказаться и лучше предыдущего, но в нем был провальный апрель, когда на объемах производства сказалось затоваривание запасами, созданными в предыдущие месяцы.	91:101	0:205
провальный	ADJ	1991-2017	2	провальный-2		"Деловая хроника" - экономический журнал, возглавлявшийся бывшим руководителем "Сегодня" Михаилом Бергером, -- оказался провальным проектом и просуществовал чуть и более года.	120:130	0:175
провальный	ADJ	1991-2017	2	провальный-3		Но только ли в них дело Разрушители и созидатели Моя вера в демократию не исключает признания того неоспоримого факта, что все крупнейшие реформы в России -- как успешные, так и провальные -- всегда инициировались и выстраивались сверху, а роль первого лица в государстве -- будь то государь император, генеральный секретарь или демократически избранный президент -- была решающей.	178:188	0:381
провальный	ADJ	1918-1990	1	провальный-4		-- А ну, иди сюда, -- шепотом сказал Филипп и мотнул головой в коридор -- Того, знаешь, Надя, приходил один нырнуть надо до времени -- Что Провал Где -- У Нади шепот нашелся серьезный, деловой, и от шепота своего стало тверже в душе -- Да там из комитетчиков, а я кандидат, знаешь Наденька оглянулась на кухонную дверь, там было совсем тихо -- Да все одно, -- шепотом заговорил Филипп, -- дура она Так я пошел, одним словом, -- он шагнул к двери Надя повернулась в узком коридоре и быстро пихнула руку в рукав Филипп оглянулся, взявшись за двери -- Да, -- и Филипп, сморщившись, глядел па папироску, раскуривал ее под носом, -- да, ты тоже того, место здесь тоже провальное Домой, что ли, вали Надя с силой надернула на голову шапочку -- А я, если что, -- бормотал Филипп густым шепотом, -- я тебе дам знать к этой как ее у которой занимались К Тане этой зашлю кого из ребят Надя притаптывала калоши на ногах Ничего не говоря, смотрела в полутьме на Филиппа -- Ты, Надя я хотел тебе, -- Филипп двинулся к Наде Но в это время дверь из кухни распахнулась, на сером свете Аннушка, и белье через руку -- А ты скоро назад-то Я ведь ко всенощной пойду, дом-то запру -- она говорила громко, на всю квартиру Филипп хмуро глядел на сестру -- Ну да ждать-то тебя до ночи, аль как -- и Аннушка оттерла Филиппа мокрым бельем в угол, распахнула входную дверь.	663:673	0:1346
провальный	ADJ	1918-1990	1	провальный-5		Пантюша был сутул, на голову ниже Сергея, черен, броваст, из провальных глазниц так и зыркали злые, колючие, как у крысака, глазенки.	61:71	0:133
провальный	ADJ	1918-1990	1	провальный-6		. Провальное выступление сборной России на Олимпиаде (в Солт-Лейк-Сити наши соотечественники ни разу не пробились даже в десятку сильнейших) нанесло серьезный удар по самолюбию ветеранов -- и лидеров -- команды Варвары Зеленской и Андрея Филичкина.	2:12	0:248
провальный	ADJ	1991-2017	2	провальный-7		Чего серчать Наденька на минутку забылась провальным сном и когда открыла глаза -- комната уж мутилась серым светом.	42:52	0:116
провальный	ADJ	1918-1990	1	провальный-8		Борьбу с криминалом и коррупцией, административную реформу подписавшиеся под заявлением считают одними из самых провальных направлений в работе правительства.	112:122	0:158
провальный	ADJ	1991-2017	2	провальный-9		Провальная.	0:10	0:11
