lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
лилипут	NOUN	1918-1990	1	лилипут-0		"Степка-Растрепка", "Красная шапочка" и многие другие), инсценировки классических произведений мировой литературы ("Гулливер в стране лилипутов".	134:143	0:145
лилипут	NOUN	1918-1990	1	лилипут-1		И приходится слово "газ" считать таким же "измышленным", "изобретенным", как "лилипут" Свифта.	78:85	0:94
лилипут	NOUN	1918-1990	1	лилипут-2		-- ...Уж не стану демонстрировать моих "лилипутов", -- торопился коллекционер.	40:49	0:78
лилипут	NOUN	1991-2017	2	лилипут-3		Автор среди прочих фантастических чудес описывал в ней сказочную страну, населенную крошечными, с мизинец, человечками, которым он придал племенное имя "лилипуты".	153:161	0:163
лилипут	NOUN	1991-2017	2	лилипут-4		-- Дали, -- сказал лилипут.	19:26	0:27
лилипут	NOUN	1991-2017	2	лилипут-5		Это похоже на сцену перевозки священного белого слона или путешествие лилипутов с Гулливером по морю.	70:79	0:101
лилипут	NOUN	1918-1990	1	лилипут-6		-- Какие лилипуты -- не понял Андрей.	9:17	0:37
лилипут	NOUN	1991-2017	2	лилипут-7		"Труппа лилипутов".	8:17	0:19
лилипут	NOUN	1991-2017	2	лилипут-8		-- Кыра-быра-дыры-быра! -- ответил ужасный лилипут и, скорчив ужасную рожу, вышел из хижины и, словно кошка, поскакал по веткам деревьев.	43:50	0:137
лилипут	NOUN	1991-2017	2	лилипут-9		Нам все кажется, что они это "понарошку", и что на место гигантов пришли лилипуты, которые вот-вот споткнутся и будут высмеяны и разоблачены.	73:81	0:141
лилипут	NOUN	1918-1990	1	лилипут-10		-- Не вам судить, лилипуты, -- сказал Штейн.	18:26	0:44
лилипут	NOUN	1991-2017	2	лилипут-11		Правая рука автора книги покоилась на курчавой голове юноши Пушкина, который был совершенно лилипутского роста, но другие лилипуты, составлявшие групповой портрет, были еще меньше.	92:104	0:180
лилипут	NOUN	1918-1990	1	лилипут-12		-- Ну как, -- спросил Андрей распространителя, -- как твоя панк-группа, даете концерты -- Да ну, -- Мирон махнул рукой, -- у нас лилипуты аппаратуру сожгли случайно.	129:137	0:165
